,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-0.0008502547869816519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4820464561467734,0.7357551172766541,-0.47370545668648334,0.0
0.02,-0.0008497827293033517,9.375840530056316e-07,0.00010923076065642212,5.724354181487376e-07,2.935670518185256e-05,7.478164714092004e-07,5.3980949163518366e-05,2.559120723742315e-10,6.160509111803534e-07,0.008035675852183233,5.3413060306164994e-05,-0.0015475955696734323,0.00016601602551099702
0.04,-0.0008503882349487228,4.280644415615209e-06,0.00018828889177815848,1.1665350045466252e-06,2.992254495650379e-05,1.3687688238026948e-06,1.0536398823836553e-05,4.339592990022173e-08,2.563395440677377e-06,-0.00248772879178763,1.4763130596603946e-05,-0.0011754163825671016,-0.00011777853893094048
0.06,-0.0008548256699581125,6.702153123762546e-06,2.456302983264776e-05,1.7678825094199151e-06,3.0194319009203513e-05,1.5107722172981104e-06,7.56947289411803e-06,6.617406640229238e-08,4.247456039860732e-08,-0.010864006516922181,7.773853686207643e-06,-2.5485152100074293e-05,-8.342371317608286e-05
0.08,-0.0008489613860764569,5.447149387213716e-06,-0.00011968859023404152,2.3707676314778314e-06,2.9951503800096996e-05,1.5363991424454075e-06,-1.0228885784646811e-05,4.143377053715878e-08,-2.5428279071174027e-06,-0.002227534128820735,-3.294865713401873e-05,-0.0014561483200997982,-5.431621224742168e-05
0.1,-0.0008400182835319057,3.2748517991160697e-06,-6.722389966375043e-05,2.9618265454132147e-06,2.9144707588203353e-05,1.1033232246245395e-06,-2.7412926297231983e-05,2.483382673835229e-09,-9.854838658419734e-07,0.006702436871702688,-3.5996433258439486e-05,0.0001545377788488289,6.0338996839741764e-05
0.12,-0.00086361374077744,3.4465939095863433e-06,8.380765441304573e-05,3.5404918734883474e-06,2.889013965181174e-05,7.380484357105935e-07,-3.6543815173094977e-06,-5.718091505971006e-09,6.681785333147332e-07,0.006685213820817937,1.2738407544149455e-05,0.0017486760076796393,0.00016687970271073402
0.14,-0.0008676700948095587,6.108074546397548e-06,0.00016095443233244764,4.123350980756368e-06,2.948223958924817e-05,9.642975656804787e-07,2.2252628829128556e-05,2.7398091829018996e-08,1.657526503542141e-06,0.00023273719861327535,3.8643291750392605e-05,0.000604003937504316,-6.54171760795855e-05
0.16,-0.0008017008465590905,8.795675143236703e-06,8.279522806848571e-05,4.719671915684865e-06,3.0062944813222174e-05,1.396661724192776e-06,1.5473403792376586e-05,5.4946982910044234e-08,1.1629601746129629e-06,-0.006986819051390453,1.3380558567588352e-05,-0.001040587913807317,-8.135652549290167e-05
0.18,-0.0007710291658074745,9.000934225436545e-06,-5.817773195643325e-05,5.321062510423166e-06,2.995335372341079e-05,1.4781453671101912e-06,-7.554454063419612e-06,4.8730515648851486e-08,-1.6105337020407124e-06,-0.005760656354414528,-2.6106979223283755e-05,-0.001114102133306094,-3.632515317722289e-05
0.2,-0.0007993823331833688,7.196895651179353e-06,-9.19139027265562e-05,5.914314935054709e-06,2.9341488154109555e-05,1.1675780653861085e-06,-2.0172923738192294e-05,1.777179926702643e-08,-1.646136120246383e-06,0.0029835181399688604,-3.183521778073184e-05,-0.00010641305472217089,-4.0240860801758955e-05
0.22,-0.0007860906835796686,6.364896299411142e-06,2.151717839655232e-05,6.495870747069012e-06,2.88961548240683e-05,8.054866131273818e-07,-1.2582754025477304e-05,-6.2594156420546566e-09,1.6371332967903554e-07,0.006921525049154886,-7.434352410129463e-06,0.0008906175812429806,0.0001699891304214069
0.24,-0.000782100937489375,8.046464774178447e-06,0.0001325158632109598,7.074730758527646e-06,2.9107244003601972e-05,7.725956936052549e-07,9.956147436067198e-06,1.1924609132307804e-08,1.027541413303033e-06,0.0027008581468528914,2.0381671433075677e-05,0.0010784414396750042,2.320754417171249e-05
0.26,-0.0008489372494006735,1.073675260754477e-05,0.00011533217482342323,7.663305256375591e-06,2.977046334348441e-05,1.1448888720669869e-06,2.3554693383524532e-05,4.2633431503406196e-08,1.572325068225453e-06,-0.003547281244382028,3.395725874891231e-05,4.8567990835746144e-06,-0.00010734079164378789
0.28,-0.000833794502431132,1.2120200712474689e-05,1.48764238348821e-05,8.26307593933774e-06,3.008436654085936e-05,1.4903553260004056e-06,6.608641784112085e-06,4.9621788518689146e-08,-2.848761267267662e-07,-0.0057867172459851735,-3.3419236616649695e-06,-0.001295211406822816,1.3932435533113834e-05
0.3,-0.0006654778580231993,1.1437914575348352e-05,-7.072654695133599e-05,8.861077578790267e-06,2.9589861077253605e-05,1.3217924127135333e-06,-2.2640220416364275e-05,3.6280187936960895e-08,-1.6700428776400334e-06,-0.0022861192470575165,-4.034751911224932e-05,-0.0011011913826113329,-0.000105018893049542
