,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-0.0021256369674541296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4820464561467734,0.7357551172766541,-0.46119395749604836,0.0
0.02,-0.0021244568232583793,3.7948600913711136e-06,0.00033659678771533425,6.123832165529298e-07,3.126954218843539e-05,8.80733650397672e-10,1.3231027115157408e-08,1.304744265005871e-11,1.2573016935733382e-09,0.008276457281424704,6.73356523890889e-05,3.427829741442512e-07,8.418928063892717e-08
0.04,-0.002125970587371807,1.0493724724959955e-05,0.0002513791468377219,1.251928644127814e-06,3.262263665765206e-05,1.1472960083944323e-09,1.0103702262390111e-08,3.789582233824256e-11,8.756791025673256e-10,-0.015627684402610642,5.149600462456272e-05,-4.1619881302468187e-07,-5.209982854754991e-07
0.06,-0.002137064174895281,1.172915663026626e-05,-0.0001353057597950942,1.9088839954520023e-06,3.2774796094965925e-05,1.1802753820998208e-09,-6.272405458659001e-09,4.025951831819583e-11,-7.575383115932815e-10,-0.01780914463807881,-2.989338571464384e-05,3.8021990000913775e-06,4.3248498669476443e-07
0.08,-0.0021224034651911423,6.713930590419616e-06,-0.0002901609961697574,2.5528408592227574e-06,3.15018334247782e-05,9.307758230272028e-10,-2.5128230296983174e-08,1.713657414058423e-11,-1.3784864002788235e-09,0.004402231736141765,-8.926989137958419e-05,1.3203729833183298e-05,-8.971951913945217e-06
0.1,-0.0021000457088297645,3.228440106042765e-06,-3.650251588499794e-06,3.1712606081408945e-06,3.0558831209940464e-05,7.392621053107106e-10,-1.6834162469103365e-09,2.4000184392249133e-13,-5.819518205732344e-10,0.020385362868735435,-7.960170062742966e-06,-8.043997177964446e-06,-6.555418756000003e-07
0.12,-0.0021590343519436,6.922887494658245e-06,0.0003336418061384434,3.787248640941818e-06,3.1297779191104876e-05,8.904712825526754e-10,1.4060720740181765e-08,1.28680909011562e-11,1.3874972980759802e-09,0.008799497613091789,6.99096952347239e-05,5.083239098868653e-06,-1.4121926410375681e-06
0.14,-0.002169175237023897,1.3674031450768737e-05,0.0002591374534139718,4.427523526545795e-06,3.267206884057508e-05,1.1619764060194023e-09,8.541038629095718e-09,3.789240501932056e-11,9.948767363313166e-10,-0.015251573521877337,5.387074393886637e-05,2.2139024347778147e-05,2.1605923618880224e-06
0.16,-0.0020042521163977263,1.4992087379682413e-05,-0.0001418347367047591,5.083778474807089e-06,3.2643517305549355e-05,1.1390925639836924e-09,-9.953908325196854e-09,4.0624804267411697e-11,-7.155463037870527e-10,-0.01943950884301099,-4.6537748130376366e-05,-1.501973048650962e-05,-7.911616530138776e-08
0.18,-0.001927572914518686,9.55087259883114e-06,-0.0003226301281792529,5.7235807995013885e-06,3.1202000105298884e-05,8.472495644953306e-10,-1.6894458571106703e-08,1.5691803383224755e-11,-1.4507620595864123e-09,0.00380159648156686,-8.309345919101097e-05,-1.6875756500556172e-06,1.591458948521987e-08
