,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-0.0034010191479266075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4793827000193035,0.7316893842399895,-0.4460187021781435,0.0
0.02,-0.003399130917213407,3.1221071756589374e-06,0.0004064022032622491,6.158644848959543e-07,3.353211081223639e-05,3.3522744474363463e-06,0.00020545131757557095,1.554906365396145e-08,3.860665568118088e-06,0.029505752577177524,0.00020208520325179502,-0.007586616822527648,0.0006253424436051936
0.04,-0.003401552939794891,1.4975002338544907e-05,0.0006217956163891592,1.3125525476567862e-06,3.5648460208458555e-05,5.597109015736954e-06,3.588345401668325e-05,1.8968580857282505e-07,9.183371047299136e-06,-0.015388493990989932,9.702908874387184e-05,-0.003986244915419351,-0.00048702717899084744
0.06,-0.00341930267983245,2.1387381167353066e-05,-7.04547123138619e-05,2.0360316434069284e-06,3.657763239635864e-05,6.0919231940217104e-06,2.4503267511570752e-05,2.6114819452250974e-07,-1.0984400052381061e-06,-0.041253139154753704,1.5042155975766858e-05,-0.0006545560310645682,-0.00038571889650950396
0.08,-0.0033958455443058276,1.3716753545825968e-05,-0.0005673881902436087,2.7597865779591413e-06,3.523258205799054e-05,5.999122912379648e-06,-5.1358765022635225e-05,1.4530690796762603e-07,-9.868651342061152e-06,-0.004221298203824386,-0.0001469737506399893,-0.005458294141005737,-0.00010756515468954026
0.1,-0.003360073134127623,4.070612997988467e-06,-0.0002871483806716107,3.4316046885228145e-06,3.201065741548381e-05,4.198063203717595e-06,-0.0001042724900959988,9.282146720906091e-10,-3.330990754926781e-06,0.02824179041407801,-0.00012904260584804816,0.001512014438072723,0.0002799220017417791
0.12,-0.00345445496310976,4.374984844515207e-06,0.000302749117175177,4.058715614583795e-06,3.138778976922809e-05,2.9654527975603805e-06,-8.176510130944538e-07,-1.1426847944091418e-08,3.5478769776393356e-06,0.0243900678405915,6.902248535278765e-05,0.006844455981153963,0.0005735095889376492
0.14,-0.003470680379238235,1.3750649954892789e-05,0.0005441888999015929,4.709515020286298e-06,3.397948288131046e-05,4.059480456823955e-06,9.230685072619142e-05,1.2334602931111343e-07,6.594253423841586e-06,-0.0027406336832346556,0.0001561651861290425,0.0016875488260087723,-0.00024184109347797755
0.16,-0.003206803386236362,2.1960763475033387e-05,0.00018798421919681416,5.414863813670069e-06,3.614920551713777e-05,5.719762387566079e-06,5.293383194439539e-05,2.2366176027011583e-07,3.3901032763125174e-06,-0.02847536270240819,3.7781302892309077e-05,-0.004526727978110046,-0.00035092316229092847
0.18,-0.003084116663229898,2.003403276286469e-05,-0.00035212467345323826,6.134964319314834e-06,3.537032884285341e-05,5.838980831511284e-06,-3.977523794459012e-05,1.846601375322474e-07,-6.563414960622984e-06,-0.02004607520178525,-0.00010725199879937919,-0.004180790504092147,-0.0001588868001787874
0.2,-0.003197529332733475,1.1093156047379305e-05,-0.0004228422258296881,6.817213165334558e-06,3.2797678291519805e-05,4.492369849909201e-06,-8.050979822554671e-05,5.6366956351236436e-08,-6.258642867924333e-06,0.014388688425107876,-0.00012403286048968953,0.0001603916672048289,-2.5331923743492687e-05
0.22,-0.0031443627343186744,7.000169003833092e-06,5.618606470643887e-05,7.45383492694991e-06,3.12305300129192e-05,3.1481992156656743e-06,-4.143800387851569e-05,-2.177466794439294e-08,1.1004133541684715e-06,0.02742280414738052,-1.5998413402759648e-05,0.0037654499668582364,0.0005914063616304654
