,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-0.004251273934908259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041704997301450025,0.0
0.02,-0.0042489136465167585,3.609981413102016e-06,0.0004927706892290726,6.645619799679376e-12,6.332086861677e-10,4.3662013744100435e-06,0.00025380880196039664,2.5850095171956685e-08,5.4728658278096605e-06,0.03571103227901379,2.0758194449056418e-08,-0.010172214925418777,0.0007720066847137695
0.04,-0.004251941174743614,1.770829231503087e-05,0.0007151392787866075,2.2095534935884013e-11,8.588389514648742e-10,7.075820962879863e-06,4.1562503287930164e-05,2.457333397335988e-07,1.1070967053366468e-05,-0.022004475742494426,2.0422198914213514e-06,-0.004661551974672608,-0.0006252563413080871
0.06,-0.004274128349790562,2.4111979816457946e-05,-0.00017522679729539315,4.0355139473777915e-11,9.519210259979432e-10,7.652866302596533e-06,2.7744396400720625e-05,3.261392392832117e-07,-1.956485211193476e-06,-0.050946081732508475,3.2715941545235887e-07,-0.001071488933302318,-0.000507490511524631
0.08,-0.0042448069303822845,1.3069270591288162e-05,-0.0007623624572359487,5.836105604820922e-11,7.8673487620441e-10,7.433599982704973e-06,-7.034263836662842e-05,1.7194627196899547e-07,-1.231334876269837e-05,-0.0030435056484601247,1.0184167337012862e-06,-0.0067234715188768624,-7.618312821252443e-05
0.1,-0.004200091417659529,3.720586937077702e-07,-0.0003733864584548117,7.039499858618171e-11,4.2689762040041626e-10,5.118810077856685e-06,-0.00012921723286423475,-4.768182991020118e-09,-4.018468373739879e-06,0.03645833546506189,-5.46460800041114e-07,0.0023829369385325464,0.0003645197810644758
0.12,-0.0043180687038872,5.55884608453648e-07,0.00036759063655931437,7.763457598288561e-11,3.758778954236678e-10,3.678806012154493e-06,6.409103596960303e-06,-1.1252605529079597e-08,4.956705377747043e-06,0.029895659631294712,-2.764175692842165e-07,0.008603106391972176,0.0006805101957758719
0.14,-0.004338350474047794,1.1843126043165385e-05,0.0006433519710002605,8.790703979344121e-11,6.801178704139422e-10,5.171102147113327e-06,0.0001191400166154119,1.6075106151991083e-07,8.347232558851347e-06,-0.00526830898440821,-3.479401554629893e-06,0.0017730012878453298,-0.00028567946010529376
0.16,-0.004008504232795453,2.1031731688682112e-05,0.00016750983759290642,1.0433465448890235e-10,9.14246850660565e-10,7.250713811414719e-06,6.305407210846991e-05,2.8512185344045284e-07,3.763934466367576e-06,-0.03660046907420551,5.199661088612209e-07,-0.005939706715325536,-0.0004758916101626435
0.18,-0.003855145829037372,1.7169108239977424e-05,-0.0005120792317205096,1.2214114702409634e-10,8.119872903233946e-10,7.300187763965775e-06,-5.557089037481395e-05,2.28151742653294e-07,-8.389181074078006e-06,-0.024265156038577033,-1.7897486044087913e-08,-0.005212192753784783,-0.00019759629799386697
0.2,-0.003996911665916844,4.817907482876454e-06,-0.0005712702937415298,1.354680230724499e-10,5.160658016476882e-10,5.5225795039832114e-06,-0.00010329812189571647,6.212415240301636e-08,-7.971169132334786e-06,0.019650582757797394,9.79621926477151e-08,0.0004788344703924459,2.468761712553797e-05
