,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-0.003663574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4820464561467734,-0.7357551172766541,0.5028989547974984,0.0
0.02,-0.00366154,3.4705085977098134e-06,0.00030184566124054856,-5.054354913524121e-07,-2.477795888152438e-05,1.118337446730979e-07,1.7397057732409e-06,1.9884887915648034e-09,1.5967318840591134e-07,0.005874683402087827,4.4528591567893905e-05,-0.000729087307628079,-4.3786540921157344e-07
0.04,-0.003664149,8.826244412827674e-06,0.00015518308892281657,-9.890113224333388e-07,-2.3603390392036143e-05,1.4085164355335323e-07,1.0680511129954468e-06,4.894710134941828e-09,4.448016935615563e-08,-0.01786701950845826,3.9298738399889954e-05,-5.8455841355053995e-05,1.3130747310562477e-05
0.06,-0.003683269,7.956363893515084e-06,-0.00023600551946417633,-1.458751016484284e-06,-2.3662362227586675e-05,1.4236230145569967e-07,-9.824973893573188e-07,4.604299994578408e-09,-2.015440251925754e-07,-0.01635897255630689,-4.470917113429118e-05,-9.279479863741336e-05,0.0001008094243552032
0.08,-0.003658001,1.4315728917819618e-06,-0.0003356632481938286,-1.9444341948513208e-06,-2.4982911197480217e-05,1.1032724662160055e-07,-1.753244588021919e-06,1.4434586829044164e-09,-1.7059078057593472e-07,0.006881343354732283,-6.84593740961914e-05,3.091210627576002e-05,0.00023697174382822112
0.1,-0.003619467,-2.4896125333958396e-06,-1.1980416295712158e-05,-2.454265171828577e-06,-2.575975222421056e-05,8.857720741760024e-08,-1.3357532102201232e-07,-2.045021594476298e-10,2.447997649555488e-07,0.020188610959838343,1.3086963997904766e-06,0.00011056150249708074,0.00018033540057187051
0.12,-0.003721135,8.550508651259372e-07,0.0002954233591621009,-2.9628343753567526e-06,-2.4865479978964726e-05,1.0896630326354726e-07,1.7991252329789644e-06,2.0406692627914063e-09,5.004305874503962e-07,0.006378210221001102,7.274346938515586e-05,4.265073917170126e-05,-0.0001278125536877256
0.14,-0.003738613,6.297646351584137e-06,0.00016853831357675994,-3.4461953895502735e-06,-2.35666034302448e-05,1.4227046451952708e-07,1.1817924227836254e-06,5.331893426458992e-09,1.844822141853792e-07,-0.016010898678544827,4.2353926660229635e-05,-8.788009871119051e-05,-0.00044439080827219767
0.16,-0.003454365,5.657467716486983e-06,-0.0002352714049934598,-3.916559535437315e-06,-2.3773884069095343e-05,1.3815941273259914e-07,-1.3539352723705546e-06,5.1917706230729235e-09,-5.102320530907648e-07,-0.017073500956853227,-5.493427017207175e-05,-0.00010593106293121934,-0.00039004053838794135
0.18,-0.003322207,-1.2451559232897552e-06,-0.0003688442391339639,-4.4057747058096875e-06,-2.5246999727279176e-05,1.0137736243379504e-07,-2.0535107373362066e-06,1.4272425228295733e-09,-7.908491154903093e-07,0.00603913807613371,-7.912263599420266e-05,2.681897911877007e-05,0.00014935119090858564
0.2,-0.003444375,-5.825429057124172e-06,-3.0007821570944915e-05,-4.921432882812108e-06,-2.6062875589071996e-05,7.947507540936858e-08,-4.9386241363850127e-08,-1.0753405406012758e-09,-2.4135338416883804e-07,0.021568353223665293,2.825331059830294e-06,0.0001277574882271315,0.0006030917786338738
0.22,-0.003387104,-2.39819940370315e-06,0.00031803306134375544,-5.4371451209650934e-06,-2.525040741303023e-05,9.671817791235487e-08,1.7083667178303738e-06,8.834432249236109e-10,5.738515729696331e-07,0.005727415478869791,7.25640863459831e-05,4.863075053485044e-05,0.0006145106020745709
0.24,-0.003369913,3.5781658755755427e-06,0.00018965666085011312,-5.927311094272135e-06,-2.3859750644802826e-05,1.3180499097894824e-07,1.2818444264714723e-06,4.706809699584305e-09,9.095264380382371e-07,-0.018360888392248115,4.620421192665092e-05,-9.159304845199334e-05,4.383183600088509e-05
0.26,-0.003657897,3.2704059943786635e-06,-0.00021973771967087884,-6.399195710659195e-06,-2.3626670601145974e-05,1.4247327557948076e-07,-5.395481854014658e-07,5.431658602473751e-09,3.914221649934439e-07,-0.015842180804202827,-3.213326440518194e-05,-9.788824275178132e-05,-0.0005770621752746981
0.28,-0.00359265,-3.1956808924909927e-06,-0.0003488488389566308,-6.883948860797708e-06,-2.495507930836391e-05,1.1061740620829937e-07,-1.8785913759686987e-06,2.545836157065693e-09,-3.6657864845986034e-07,0.0075318595514605735,-7.351706271405134e-05,1.693361633220425e-05,-0.0006778291039298088
0.3,-0.002867408,-7.83194092739421e-06,-7.212919051318169e-05,-7.3987418977769035e-06,-2.6331172649079162e-05,6.975400457377659e-08,-1.3116201113062158e-06,6.337696978773136e-12,-6.923801117402966e-07,0.018468013924835325,-3.5314824109330956e-05,8.896675703312651e-05,-0.00021466734454940708
0.32,-0.002699184,-6.0082287630644336e-06,0.00022321799615320452,-7.923762179550771e-06,-2.593840046651634e-05,7.472181386369697e-08,1.0765376790330923e-06,4.981207157899399e-10,-4.67707404452828e-07,0.006652912438374653,4.973355794965495e-05,5.721957295054536e-05,0.0004452998191515099
