,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-0.003663574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7230237967407556,1.103562637130627,-0.7021712980900305,0.0
0.02,-0.00366154,3.8100470129042015e-06,0.00034868731374634534,9.24231568998264e-07,4.7144516559315404e-05,1.041959704973071e-07,3.5046138097354265e-06,1.4507172834411884e-09,1.541983149495282e-07,0.010339271424129659,7.875072411626938e-05,-0.0008725689007602067,-7.560738598791925e-06
0.04,-0.003664149,1.1001993208378004e-05,0.00028487499524253423,1.8811727509466166e-06,4.858871467478196e-05,1.3677687049645944e-07,1.2925667629004539e-06,4.591005422616162e-09,9.586513439192695e-08,-0.015031148931123534,5.826780128173614e-05,-4.94126558837904e-05,-2.907054782020496e-05
0.06,-0.003683269,1.2924777106610337e-05,-0.0001046898840154124,2.8590474949909246e-06,4.886038849045523e-05,1.4538046858257722e-07,-6.426117937522435e-07,5.161101762814653e-09,-8.37193845615998e-08,-0.018366551608091586,-3.7309364663187794e-05,-0.00010496294003070616,-0.00012318106373909992
0.08,-0.003658001,8.29750286836221e-06,-0.0002831817983945684,3.823597496566322e-06,4.744040083482537e-05,1.1639589042544493e-07,-1.8279755957503765e-06,2.4175083390121494e-09,-2.732734774839413e-07,0.0035787261844908713,-8.396684471664861e-05,5.868158205440954e-06,-0.00017391298293259168
0.1,-0.003619467,4.764089449412816e-06,-1.0032881681202365e-05,4.758540121523882e-06,4.628685966545009e-05,8.937644884714717e-08,-5.17798267691487e-07,4.553866992030677e-11,-3.0414651408987844e-07,0.020572317192879386,-1.626976552035475e-05,0.00010751031287309365,-4.093345735296925e-05
0.12,-0.003721135,8.440368175234536e-06,0.0003441183677737271,5.68866858474382e-06,4.703156232031167e-05,1.0343040749293723e-07,1.6309022447527652e-06,1.1257778073670388e-09,-1.1450943756867544e-07,0.009657112879204482,7.750605981043934e-05,6.636299433657178e-05,0.00024219451571938825
0.14,-0.003738613,1.568112658528658e-05,0.0002961409727628652,6.645622413253324e-06,4.862658889611641e-05,1.379987796004782e-07,1.458202108048118e-06,4.103662628118069e-09,2.4492595448541854e-07,-0.015305403766513598,6.290511382137098e-05,-6.759329520275581e-05,0.00040076140407204874
0.16,-0.003454365,1.7813680966499654e-05,-0.00010565982237583845,7.6226248789112045e-06,4.872133145756288e-05,1.409945065745267e-07,-1.0102325933993898e-06,5.020185947423879e-09,4.387214045355003e-07,-0.02063265058993974,-4.903607431981649e-05,-0.00011711253163271262,7.297941955492979e-05
0.18,-0.003322207,1.2835538380940112e-05,-0.0003169415494552964,8.582957004408698e-06,4.713526830751174e-05,1.0740474620209771e-07,-2.113486551408349e-06,2.603775187320694e-09,2.3020200500093042e-07,0.0032522733205640753,-9.559534742267783e-05,6.296143342798821e-08,-0.00046178136264947217
0.2,-0.003444375,8.677647725654712e-06,-2.8416562610242326e-05,9.511320763529002e-06,4.5950142873442365e-05,8.044127328474919e-08,-4.270723825214311e-07,2.4053052606032634e-10,-2.4673227741156033e-07,0.024332999683500833,-1.4446368820017486e-05,0.00011989532177975049,-0.0006354424695873439
0.22,-0.003387104,1.2428815607069477e-05,0.0003661891854198129,1.043347092755059e-05,4.65960414001145e-05,9.133657902116002e-08,1.529838254140261e-06,1.1908619437918252e-09,-4.820805982174727e-07,0.011789139453843328,7.637144856076361e-05,6.817326063315865e-05,-0.00018601785794002145
0.24,-0.003369913,2.0162764939877192e-05,0.00031858166835242957,1.1382572277545714e-05,4.8279603717155e-05,1.274634666378456e-07,1.541913487678187e-06,3.920912907009238e-09,-4.0543255893009036e-07,-0.016524934373025518,6.76985745509534e-05,-7.142107092109051e-05,0.0004549263995305519
0.26,-0.003657897,2.261020635524993e-05,-8.658771091448667e-05,1.2357633827822969e-05,4.8884011503018476e-05,1.4509843334978014e-07,-2.017346669356299e-07,4.4518532134670135e-09,1.5605052615690928e-08,-0.02115204750707958,-2.225690307985917e-05,-0.00010300178273384142,0.0006529393288540915
0.28,-0.00359265,1.8099696503486417e-05,-0.00029415196258890657,1.3323019886098804e-05,4.746967091929865e-05,1.1657801670509003e-07,-1.9244831222298927e-06,2.0643870966184716e-09,4.312418953775351e-07,0.0008283923623588485,-8.857450475281692e-05,-4.064687503385622e-06,0.00031302819226460476
0.3,-0.002867408,1.3924158819999667e-05,-7.233555855551005e-05,1.4252467526633573e-05,4.5655266488928644e-05,7.088995083017678e-08,-1.673209456879352e-06,1.1640300418764039e-10,5.066727759152483e-07,0.018201384845486723,-5.706063497719349e-05,8.208788211949702e-05,-0.00027204793356051576
0.32,-0.002699184,1.6063932849118306e-05,0.0002655675518475628,1.516423717061326e-05,4.581980356494443e-05,6.9518513987841e-08,8.949677207557813e-07,1.1203931383687488e-09,2.0722390464587382e-07,0.013327186200006086,4.879549131174554e-05,7.35962305337956e-05,-0.0006486935585568768
0.34,-0.003289555,2.256470379240108e-05,0.00032297306201285855,1.6098197933737872e-05,4.7642379699557646e-05,1.1196809352200725e-07,2.2667304230574332e-06,3.74664224224868e-09,-3.883768799962531e-07,-0.005568939184191768,9.233785530456118e-05,-2.2218534218854114e-05,-0.0004954873532311099
0.36,-0.003327356,2.6513907255630443e-05,3.5030554229271053e-05,1.7061527686926505e-05,4.843008210504678e-05,1.3227664493614163e-07,9.067767438730807e-08,4.5895148973594345e-09,-7.549535538962112e-07,-0.018602608204465187,-2.943008127379021e-06,-0.00010314249314063995,0.00013389775785858926
0.38,-0.003012177,2.3950816742972207e-05,-0.0002480342847962335,1.8021532768407345e-05,4.732242110858698e-05,1.0856464320998705e-07,-1.9319804269472e-06,2.1891586758332454e-09,-4.3634105909494147e-07,-0.008061239265694409,-8.59410914641201e-05,-4.169432141504226e-05,0.000750982044871566
0.4,-0.002283752,1.9070686533505432e-05,-0.00017710451096244835,1.894757156257307e-05,4.53397622488169e-05,5.978637614433487e-08,-2.1862392251573938e-06,-7.212452334609173e-10,4.046350979550665e-07,0.010601088967290728,-8.202148387338737e-05,5.8264250323569744e-05,0.0007564787005288902
0.42,-0.002256088,1.877725017652565e-05,0.0001603892336395273,1.984804525163733e-05,4.500827149029128e-05,4.8670260726767545e-08,4.909112577954628e-07,-5.151770964924688e-10,1.0577988124698542e-06,0.01702121061371989,2.888545063081671e-05,9.911878860405232e-05,-2.1099859351494162e-05
0.44,-0.00300004,2.4679689758890296e-05,0.00037436172670805796,2.0763993067157103e-05,4.67851881312909e-05,9.052467159040626e-08,2.679190120955095e-06,2.827929135434929e-09,7.349406943807568e-07,0.0036564307405371477,0.00010994545632507513,2.4119016938300986e-05,-0.0008421776754657098
0.46,-0.002713503,3.080350465212135e-05,0.00016134119181525122,2.171271384354407e-05,4.7883066924623594e-05,1.1488317025117184e-07,3.7685575220848895e-07,5.509266784776355e-09,-2.659552372881146e-07,-0.018043781539340276,1.647495403146737e-05,-0.00011913289858755949,-0.0009311217252071782
0.48,-0.002485954,2.9830870463685162e-05,-0.00023415312260227335,2.266736404287415e-05,4.7243535839930195e-05,1.0196895118037859e-07,-1.6792446919481653e-06,3.902122110344698e-09,-1.0266397436792661e-06,-0.013292777852999899,-7.758276738767389e-05,-8.362534441011538e-05,-0.0003078855182377942
0.5,-0.003402045,2.4316878590648845e-05,-0.00020766943460975225,2.360242208698129e-05,4.630585919463778e-05,8.76372858227144e-08,-3.4022210369896626e-07,-1.296209597156286e-10,-9.660266171910091e-07,0.015293386372800338,-2.815952146315026e-05,9.30446940918539e-05,0.00047221371277357364
0.52,-0.004185658,2.4517923106803046e-05,0.00025468740012279316,2.4528444492807056e-05,4.668429714728735e-05,9.960584075645123e-08,1.870839765892587e-06,-1.0629661830532414e-09,-1.438319604875207e-08,0.021224053744068244,7.781744775638144e-05,0.00013548964777768124,0.001022903551308018
0.54,-0.003610158,3.257941708057418e-05,0.00044191137943691745,2.547416904852831e-05,4.8027978185199026e-05,1.2450025943539187e-07,1.422822960345512e-06,2.823757903229254e-09,9.253503201599629e-07,-0.00918902650323028,7.454339782539399e-05,-3.793260193463155e-05,0.0007040927412810451
0.56,-0.001633464,3.75678528865184e-05,-4.095035378697021e-05,2.6434706463983533e-05,4.7590270909269014e-05,1.0388053943928832e-07,-2.651328826724683e-06,5.7642227552198515e-09,1.0031263919586597e-06,-0.033986396179587625,-9.59764863830842e-05,-0.0001983123339516779,-0.00019174142343862059
0.58,-0.0002850522,3.069904245986552e-05,-0.0005703207627392379,2.7361628459169414e-05,4.467391447392103e-05,3.2089520438360505e-08,-4.819123269894155e-06,2.614126882017496e-09,2.2329479792372542e-07,-0.009239668042654997,-0.00019884933505721902,-7.32411607977379e-05,-0.0009143673324664768
0.6,-0.001011988,2.0489236125744357e-05,-0.00028597621976785275,2.8230424797592172e-05,4.2480516322345244e-05,-1.5345755362456223e-08,-1.0903481031641822e-06,-2.8392038253127502e-09,-5.822369605464834e-07,0.03856388493099622,-5.184713903558236e-05,0.00020027219091039994,-0.0009971793711300424
0.62,-0.001706039,2.2906885763653956e-05,0.000523634033535968,2.9081938795970366e-05,4.333984760290609e-05,3.816379447651496e-09,3.1248784415189203e-06,-2.8077678966531655e-09,-9.001171457650096e-07,0.03455726788343022,0.00014094729143498963,0.00019223646169819197,-0.00026973919350901975
0.64,-0.0008715937,3.6685839435500466e-05,0.0006683108364536438,2.9973437760319845e-05,4.591904817077081e-05,5.385667175533168e-08,2.406479260383813e-06,2.671329825492842e-09,-6.100876622341499e-07,-0.023058432951069296,0.0001232736544494739,-0.00010603199019360021,0.0006636499276950021
0.66,0.000434687,4.2814695226151104e-05,-0.0001486487528195431,3.090236755648371e-05,4.6270149277463914e-05,5.688360669886366e-08,-2.2624648884602947e-06,4.762939839508823e-09,-1.3108230932358976e-07,-0.05206595163183758,-9.64533567822945e-05,-0.0002658882572447452,0.0011549729926954317
0.68,-0.001365527,3.2742048936686605e-05,-0.0006751343885850572,3.18175857674739e-05,4.486713022335717e-05,4.075960901148634e-08,-1.5413018004268412e-06,-3.7165153869323763e-10,6.061791152194811e-07,0.0021205688339487327,-0.00010548295283067943,2.8311906200784165e-05,0.0008056547798133403
0.7000000000000001,-0.006120739,2.508287495783001e-05,0.00011390784382566637,3.27214486733412e-05,4.62364833805453e-05,1.0018108356976465e-07,5.781314641036532e-06,-3.615709485727326e-09,1.2870895736818985e-06,0.06511139499987736,0.00019478454209775897,0.0003708461607962732,-0.00019920721435225672
0.72,-0.006033658,3.844742983892014e-05,0.0010444627872562018,3.366974486938091e-05,4.9306600710637515e-05,1.6619758448920596e-07,4.917179572097208e-06,3.604274317070159e-09,1.1485433411630349e-06,0.018306126682351986,0.00024047150194164701,5.7827206748684024e-05,-0.001176672074126809
0.74,-0.0001386546,5.528397088511757e-05,0.0003061276004109921,3.4659234024782397e-05,4.889634437745603e-05,1.2248728892434108e-07,-5.418867688541268e-06,1.1591922355956527e-08,-3.759902632694288e-07,-0.0771274414878882,-0.00015074338724534175,-0.0004797368066388197,-0.0012354361486515177
0.76,0.002296187,4.519468817221238e-05,-0.0012058812297978357,3.5603544092179844e-05,4.433753088916627e-05,8.927767467015684e-09,-9.166067921964626e-06,5.180702988814537e-09,-1.917551320611326e-06,-0.04976950841841549,-0.00039097496161241696,-0.000260045160150546,-0.000369105351917926
0.78,-0.002350896,1.970848273947352e-05,-0.0008862522602001313,3.645557862980193e-05,4.125948280686297e-05,-3.3168583536950934e-08,3.3690008015464315e-07,-9.184484915441284e-09,-1.5657238809857135e-06,0.07711064660538788,-4.905054780698914e-05,0.0004613883460034829,0.0007852193179839536
0.8,-0.005241308,2.1308803669782318e-05,0.001092370863402563,3.728711368821492e-05,4.3502974051801434e-05,2.988762968848284e-08,8.342705769785863e-06,-9.367088136765323e-09,4.757723269997263e-07,0.08915424908416442,0.0003590702434887738,0.0004979228494428889,0.0013307694155268446
0.8200000000000001,-0.003689763,5.3792452697338724e-05,0.0016954495964488039,3.822010202966194e-05,5.02991715489307e-05,1.6357588966319033e-07,7.078195456091369e-06,6.954676704596318e-09,1.8120508154806054e-06,-0.04223582570025794,0.00036123296879793376,-0.00020645015144712953,0.0008027191757949649
0.84,-0.001495162,7.198443451306208e-05,-0.00015453136983233618,3.927020030518955e-05,5.305698451664014e-05,2.1710261561844405e-07,-2.8261501316492315e-06,1.6610142825012767e-08,1.150986335023577e-06,-0.11939481219769851,-0.00014328608344964244,-0.0006478725233786398,-0.00024396063106718255
0.86,-0.001054591,4.8760264922121066e-05,-0.0018534910739221079,4.028047578501146e-05,4.656217166248489e-05,8.714095229321447e-08,-1.040540025861377e-05,5.333043675457633e-09,-2.7908955644019405e-07,-0.02469602237643745,-0.00048627588752071793,-0.00019066031025205543,-0.0010561687873895768
0.88,-0.002473628,1.657869715335656e-05,-0.0008924203247581561,4.113246506260088e-05,3.9509450394342336e-05,-6.567204136463667e-08,-4.077641696152308e-06,-1.1147630865487134e-08,-9.027977410647086e-07,0.11311398309852558,-0.00017447884924937096,0.000576723387674255,-0.001092574191210234
0.9,-0.002266967,2.2495453281937027e-05,0.0014129870306170392,4.191440719358489e-05,4.0525498927720416e-05,-5.862447354081932e-08,6.297799011450067e-06,-9.336533814347191e-09,-5.103660539195708e-07,0.08995817457400582,0.00031761205818332805,0.0004932965955089241,-0.0003613416934986468
0.92,-0.004610783,6.043910111705761e-05,0.001937454043203129,4.282784962022665e-05,5.150134614668995e-05,1.8761329005027878e-07,1.3383391507366103e-05,8.193593449059936e-09,-1.1779619547372206e-07,-0.04458378661424073,0.0005960107134579812,-0.00015237343703550232,0.0005933029600954289
0.9400000000000001,-0.01139237,8.4798801042925e-05,0.00032599249355063807,4.3991873529203235e-05,6.371006842836176e-05,4.829797867612581e-07,1.0647264361632533e-05,1.9223317750316417e-08,-5.3627420536096744e-08,-0.0985907918014636,0.0003984615959473914,-0.00046836940718283926,0.0011442788281887419
