,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-0.003663574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03593966094000001,0.0
0.02,-0.00366154,6.139207009183539e-06,0.0005586334080060942,8.427101877696215e-08,4.66854797179927e-06,3.344688003308896e-07,6.5588338699220374e-06,6.217111627356394e-09,5.852481491364677e-07,0.008178508815671032,0.00020958493070183983,0.0038558041706667177,-7.5652024613022395e-06
0.04,-0.003664149,1.672768699324271e-05,0.0003629882507708082,2.0892362893106433e-07,7.213917592370185e-06,4.852100286995931e-07,4.736241986359857e-06,1.7016472008475683e-08,3.419769730617895e-07,-0.02925321733199039,8.815587137866014e-05,9.520671946133766e-05,-4.495981136999269e-05
0.06,-0.003683269,1.7224998683979132e-05,-0.0003165724034062092,3.600363547001092e-07,7.367092716144132e-06,5.096670653506504e-07,-2.776507320249321e-06,1.7311274868249382e-08,-4.029349921133862e-07,-0.03008916788161991,-6.460150691283442e-05,-0.0003198150598333818,-1.5653363367401293e-05
0.08,-0.003658001,7.172915546084309e-06,-0.0005536694592682315,4.878744550008096e-07,5.239626890829247e-06,4.0152052790199635e-07,-6.462525195926522e-06,6.632133436781339e-09,-5.894007900427658e-07,0.009182713043985035,-0.00011684742498387317,5.869993035563288e-05,0.00010289487593917457
0.1,-0.003619467,4.0815210524278677e-07,-3.3382403041840204e-05,5.74235050720767e-07,3.7630999810754883e-06,3.1078424761253297e-07,-1.3882406423488039e-06,-3.1802205132732755e-10,1.5005126881819184e-07,0.03560204556717666,-1.0647866709151156e-05,0.00039007385674157493,6.960042201465381e-05
0.12,-0.003721135,6.2309674171314875e-06,0.0005422314225539577,6.580973576884742e-07,5.038757527052757e-06,3.683334152071121e-07,5.961537324021976e-06,5.987084340973169e-09,6.681791198797055e-07,0.014623084211164417,0.00011493641369633503,0.0002043880684234018,-0.00013222329621998463
0.14,-0.003738613,1.7017236571427415e-05,0.0003947382008256733,7.822941746999163e-07,7.2764459189445114e-06,4.912924833416249e-07,4.999089940289672e-06,1.6985783849314058e-08,2.3078254736830671e-07,-0.02674122617878979,8.269794139846965e-05,-0.00026540642954600785,-0.00016757446274847689
0.16,-0.003454365,1.8150264661402675e-05,-0.0003039359756327279,9.322218575126122e-07,7.2056500587479345e-06,4.962739154906355e-07,-3.7335183994403172e-06,1.75159887140499e-08,-6.305063246098186e-07,-0.03383353487217745,-7.674825629621017e-05,-0.00039726410087260604,5.87800852582792e-05
0.18,-0.003322207,7.57706999116327e-06,-0.0006140412247306219,1.0549889228602787e-06,4.855807717291636e-06,3.733021092512859e-07,-7.593160738881107e-06,6.118382740892333e-09,-5.712386764612929e-07,0.0061660318920013875,-0.0001363118466604765,2.352637010900235e-05,0.0002665911842839636
