,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-0.003663574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03593966094000001,0.0
0.02,-0.00366154,3.1108925335762764e-06,0.00042465128390289084,5.726934666543625e-12,5.456749789261867e-10,3.762638285502933e-06,0.00021872122033081285,2.2278298224782095e-08,4.71583112917651e-06,0.030774900575732764,1.0208307762178745e-08,-0.008766220233512869,0.000665199269604801
0.04,-0.003664149,1.526027137445643e-05,0.0006162764037173994,1.9040944211892562e-11,7.401300128798531e-10,6.097710171611052e-06,3.582914138951629e-05,2.117523549398604e-07,9.532518065333377e-06,-0.018962862740971025,7.388781822293946e-07,-0.004017775015060973,-0.0005384171391814548
0.06,-0.003683269,2.077823002960056e-05,-0.00015100915457421662,3.477658103750151e-11,8.202819665254376e-10,6.595051463606155e-06,2.3887937694189372e-05,2.8111301208555983e-07,-1.677667112437686e-06,-0.043887898784929824,1.08681375514993e-05,-0.0009307320452113776,-0.00043980702294571863
0.08,-0.003658001,1.1262812510380495e-05,-0.0006569779416586145,5.029309865769378e-11,6.780773037216785e-10,6.405857469184238e-06,-6.061581113503385e-05,1.4810461473996837e-07,-1.0605961425627342e-05,-0.00265101853716251,-2.8475426521378808e-05,-0.005773574448663614,-6.286539731305274e-05
0.1,-0.003619467,3.206557369103371e-07,-0.000321722130018156,6.066345558666217e-11,3.6790904584446606e-10,4.41122161466612e-06,-0.00011133489159505225,-4.088202972343342e-09,-3.479581506872484e-06,0.0314199596456015,-2.8533892983845153e-06,0.0020535385495048224,0.00031339365539552987
0.12,-0.003721135,4.790850028928856e-07,0.00031676412217552326,6.690259967014688e-11,3.239251926506005e-10,3.1703415725127827e-06,5.522771888523133e-06,-9.659999368075226e-09,4.2834208164403416e-06,0.025767015223828606,-2.205281067136045e-08,0.007412843566450683,0.0005850562854606431
0.14,-0.003738613,1.0206488708466462e-05,0.0005544216798138703,7.575510670054924e-11,5.860833048177356e-10,4.456282509394543e-06,0.00010265507553066316,1.3848152213201013e-07,7.1897741442509305e-06,-0.004546392264947709,2.5804985346445676e-07,0.0015270413465311302,-0.0002441464624936291
0.16,-0.003454365,1.812405152554474e-05,0.0001443301019781209,8.991161405303889e-11,7.878479195259371e-10,6.248302201009198e-06,5.432858713120603e-05,2.457558653752338e-07,3.238802636181109e-06,-0.03153623903492907,1.4294476272343845e-08,-0.0051174325121162495,-0.00041205727631210727
0.18,-0.003322207,1.4795080842133782e-05,-0.0004413212933077264,1.052563939459172e-10,6.997328190688466e-10,6.290971068813825e-06,-4.788586069647463e-05,1.9655636114653698e-07,-7.2224745599379895e-06,-0.02091245157440285,-1.5964113634811303e-07,-0.004492120615352751,-0.00016848963357363536
0.2,-0.003444375,4.151376528729717e-06,-0.000492281414014954,1.167409680734536e-10,4.4470837775857016e-10,4.7590853996194275e-06,-8.902794097173633e-05,5.3548221478708993e-08,-6.87303756394732e-06,0.0169374766954026,3.8304059070004567e-07,0.00041289049159862787,2.058563855335911e-05
0.22,-0.003387104,-7.297212231646188e-07,4.8228903669770496e-05,1.2379371496563305e-10,2.981552192526721e-10,3.316255567357826e-06,-4.192208032868089e-05,-2.6026173367328043e-08,1.4585774978474985e-06,0.030326658286368408,1.797162516805134e-07,0.004273153410518424,0.0006159147671005455
0.24,-0.003369913,5.325911027805617e-06,0.00048039045239221985,1.305345602666869e-10,4.1931984779825775e-10,3.4515952873825278e-06,5.527970881530824e-05,6.667464802403162e-08,5.692489161876112e-06,0.007652373105496384,-2.2833515479074283e-07,0.004190402629680424,7.784985986739826e-05
