,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-0.003663574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03593966094000001,0.0
0.02,-0.00366154,3.134964781026036e-06,0.0004266122488260669,5.6786164146113695e-08,5.425496891148208e-06,3.742796698652909e-06,0.00021767538359298766,2.198349063019855e-08,4.662808191876511e-06,0.030836495765569467,0.00019816370007066358,-0.008687105701015142,0.0006604715288354257
0.04,-0.003664149,1.5350524627015838e-05,0.0006220300743583148,1.8946293437776624e-07,7.387304367165787e-06,6.075541361904536e-06,3.636082591463827e-05,2.1030553755720452e-07,9.511840096814665e-06,-0.018602852052740218,5.200444822863086e-05,-0.0040010436907653175,-0.0005323571629525237
0.06,-0.003683269,2.1060765443858225e-05,-0.0001379736182433159,3.466978992016456e-07,8.20596603972437e-06,6.581782890143068e-06,2.42501379618095e-05,2.8022967882089765e-07,-1.6130828837284747e-06,-0.043662333990661224,8.51106700140425e-06,-0.0009076533396995338,-0.00043796108609029
0.08,-0.003658001,1.1817638663459785e-05,-0.0006444441025688149,5.02190543551445e-07,6.811446925888531e-06,6.408845873254374e-06,-5.924152671019494e-05,1.4881196502929442e-07,-1.051877626549589e-05,-0.0028814880023455133,-0.00014166979341681432,-0.00574849460163944,-6.39290660544075e-05
0.1,-0.003619467,1.0599128736145224e-06,-0.00031638490851167183,6.067875525723057e-07,3.730596000966135e-06,4.441582764073028e-06,-0.00011046942115516546,-2.281790356746746e-09,-3.4567004903601514e-06,0.031001262781380403,-0.00011947069711937902,0.001957259839264988,0.000310033299687055
0.12,-0.003721135,1.244689261906936e-06,0.0003145670563998365,6.699952987516573e-07,3.260837767819629e-06,3.1958220007748456e-06,4.205509519322416e-06,-8.270797937205163e-09,4.205113853894694e-06,0.02548799711524356,7.513244487163017e-05,0.007327489114163989,0.0005796111401541728
0.14,-0.003738613,1.0900092483775994e-05,0.0005511289504571612,7.584489996569392e-07,5.834986999848806e-06,4.446245379129387e-06,0.00010083220460066562,1.3764827229874976e-07,7.0629202938159185e-06,-0.004320086376442974,0.00015003246876238476,0.001556473337877825,-0.0002441620806086231
0.16,-0.003454365,1.883259526338506e-05,0.00015048902033510466,8.993189323980938e-07,7.842298126378794e-06,6.213507026145638e-06,5.388769814290209e-05,2.430245979337128e-07,3.2109695931988647e-06,-0.030903323984049196,3.0424540471870636e-05,-0.0050214637658374,-0.0004022974698031159
0.18,-0.003322207,1.574588331541177e-05,-0.0004243445314403601,1.052282506873472e-06,6.991089243628753e-06,6.266706400412839e-06,-4.6442792429823894e-05,1.950908327952905e-07,-7.08664719858937e-06,-0.020605471255961894,-0.00010682585467522843,-0.004412222472689168,-0.0001630475446811521
