,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-0.003663574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03593966094000001,0.0
0.02,-0.00366154,6.307443090709921e-06,0.0005467112804579769,8.593776304362495e-08,5.1307021513532065e-06,1.5502714290691482e-09,2.356603556830439e-08,2.550778646158975e-11,2.220557254539318e-09,0.011357745812312978,0.00010934820873720193,3.300503964345434e-07,4.611916576760522e-08
0.04,-0.003664149,1.660104634370383e-05,0.00034515020982534315,2.1062407862095568e-07,7.200626592789269e-06,1.9984477195624306e-09,1.519632241465505e-08,6.720180909309883e-11,1.3856429128298586e-09,-0.028757503747091993,6.919172993404502e-05,-3.698476212879279e-06,-1.1819427146730899e-07
0.06,-0.003683269,1.6839786896202606e-05,-0.0003219346381220433,3.598124628269044e-07,7.253981895095708e-06,2.015599263847544e-09,-1.3945525631678522e-08,6.756901215210893e-11,-1.349719139671087e-09,-0.028929181484793218,-6.5400411689943e-05,2.009043947094775e-06,-1.1834618280845421e-07
0.08,-0.003658001,6.9211757784907835e-06,-0.0005349537413303798,4.857938481218363e-07,5.194653220075e-06,1.569646003396508e-09,-2.704880457429689e-08,2.6384765197219844e-11,-2.214681975735925e-09,0.010469424536760315,-0.00011963569967160261,9.589354301877368e-06,4.342443823794617e-08
0.1,-0.003619467,6.571595209643298e-07,-6.85359704285738e-06,5.726362425063326e-07,3.855260938141505e-06,1.2724678681789527e-09,-7.039574454852612e-11,3.453235736800927e-13,-4.391103571407818e-11,0.03517505546758174,-1.6640294712071001e-06,-2.1221437240835384e-06,1.442521293522716e-07
0.12,-0.003721135,6.790045328482535e-06,0.0005418911372379382,6.591038896241269e-07,5.173538130588619e-06,1.5667529875110465e-09,2.4998081818239977e-08,2.5136441813755494e-11,2.2006167416093673e-09,0.012294797330154771,0.00011294293567531126,5.428006336356843e-06,4.994710107661393e-08
0.14,-0.003738613,1.7184103115011982e-05,0.000359263023062998,7.849114103493969e-07,7.281734370666157e-06,2.0246887460485694e-09,1.3976644370117588e-08,6.723773926242468e-11,1.4431772492596232e-09,-0.028074487040672644,6.636535660297482e-05,9.149420360333503e-06,-1.1538724328796768e-07
0.16,-0.003454365,1.7574796133032744e-05,-0.00033303937097752147,9.33026216005225e-07,7.046335729490863e-06,1.9436918374904844e-09,-1.9498079571422123e-08,6.823247467883939e-11,-1.394393682293656e-09,-0.031809482769585576,-8.325207773554337e-05,-1.9521244763304777e-06,-1.300824255621308e-07
0.18,-0.003322207,6.917763591923993e-06,-0.0005913830355820889,1.0525248376820255e-06,4.727086080383994e-06,1.4284746048823398e-09,-2.729449115364939e-08,2.4047212867753867e-11,-2.4441358434795227e-09,0.009463077211322281,-0.00012537464991192138,-2.735734826274521e-05,3.9313476696278826e-08
0.2,-0.003444375,-2.888974403896544e-07,-2.668457577131905e-05,1.1295210989024476e-06,3.365188542104313e-06,1.1445626032554475e-09,-1.9736339990719476e-10,-5.816891098613445e-12,-1.232116925355915e-10,0.03936934745909843,-1.9239740097742785e-06,1.9267734266543225e-05,1.6142850148954078e-07
0.22,-0.003387104,6.183315513734644e-06,0.0005855013951835138,1.2048241049536361e-06,4.588314246939206e-06,1.3995655942854234e-09,2.4735354596929893e-08,2.0411343017041995e-11,2.3818260556746362e-09,0.013577793669704342,0.00011524896992758893,-4.734959124719107e-06,5.5200760881984196e-08
0.24,-0.003369913,1.7436938189089378e-05,0.00038868522485306704,1.3203156098209774e-06,6.827399176407464e-06,1.882916656781393e-09,1.7100890375436703e-08,6.607928940110422e-11,1.565673123550749e-09,-0.030562075851066035,7.831603231916415e-05,-4.645474867601023e-06,-1.2563252399164226e-07
0.26,-0.003657897,1.81818950691318e-05,-0.0003129147099458007,1.4661611060000256e-06,7.2710520506962e-06,2.0160369442707575e-09,-8.790710928757782e-09,6.853566861929054e-11,-1.312810715216508e-09,-0.03010829668520571,-4.940956190698668e-05,1.4956110734342208e-06,-1.2324565444241098e-07
0.28,-0.00359265,8.169746131480383e-06,-0.000553437257332764,1.5921459553873688e-06,5.155734131248064e-06,1.5528831109822837e-09,-2.7736526937244024e-08,2.6967903848281398e-11,-2.2903065754008053e-09,0.009260665988408062,-0.00012199003052596449,1.5811597325322415e-05,3.847168862603986e-08
0.3,-0.002867408,9.987588342857098e-07,-8.998433435679313e-05,1.6696671048553211e-06,2.9149884432911266e-06,9.797317919364482e-10,-1.637962500826656e-08,-2.7517950868812205e-12,-3.8089039860603475e-10,0.03079817484778745,-5.5914009612407536e-05,-2.0572618977728098e-05,1.2650578232908287e-07
0.32,-0.002699184,4.935715426614359e-06,0.00042563820501557103,1.7302534736986904e-06,3.5081194130770782e-06,1.0827839950179992e-09,1.576908218030057e-08,1.3141910926943992e-11,1.7307954923687411e-09,0.013828391457697084,7.80590348771051e-05,-4.191100073942184e-06,5.637680345498865e-08
0.34,-0.003289555,1.4174030954858951e-05,0.00039453275119893916,1.825349365661349e-06,5.985730453152322e-06,1.687554378866868e-09,2.6988029672273006e-08,5.063022084698818e-11,1.5930896237124479e-09,-0.016484493340320393,0.00010859331549791881,4.553698875084615e-06,-6.802967878437316e-08
0.36,-0.003327356,1.731549736431224e-05,-0.00011986334788447669,1.955232658027251e-06,6.639923498297518e-06,1.839119893408767e-09,-2.864691581717431e-09,6.29781540386055e-11,-5.186842371338919e-10,-0.028009052405899192,-2.1081067427592593e-05,1.0801466596328319e-05,-1.1475898624609127e-07
