,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-0.0013033504668394044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012785868079694557,0.0
0.005,-0.0012971529514918636,1.5791648697398292e-07,6.280024076885663e-05,6.821744626928587e-09,1.4099481697283638e-06,4.6027801755922556e-10,3.1332786922612714e-09,6.200544948159154e-13,2.520435903615658e-10,0.012121861338563902,1.6033745232013056e-05,6.58746045876897e-06,5.041693572880885e-08
0.01,-0.0012910243864037688,6.167947525466061e-07,0.00011928000942510257,1.4064347790507898e-08,1.494911633546399e-06,4.777023925431701e-10,4.8699036276364176e-09,2.4748211554696005e-12,4.837320898788397e-10,0.010284073784018374,2.3463172059586002e-05,1.2878034100677796e-06,4.219633145983526e-08
0.015,-0.0012849475340102584,1.3307549854218988e-06,0.00016396194780798657,2.186040490035631e-08,1.631108848498625e-06,5.061180104951593e-10,6.672976090959032e-09,5.3748772374862415e-12,6.66648417379741e-10,0.007437956938571691,3.164610328940876e-05,-4.738067671877557e-09,3.0376794144643636e-08
0.02,-0.0012789389532319076,2.2291782509676257e-06,0.00019246376062037778,3.0437457644851894e-08,1.8048017445617836e-06,5.426731290742697e-10,7.921755672925745e-09,9.029275891216355e-12,7.829905935618114e-10,0.0038660006047896303,3.745569918988587e-05,7.128125436331028e-08,1.5722819492972745e-08
0.025,-0.0012730081450887192,3.2236883104776917e-06,0.00020200099107537604,3.9941334921430916e-08,1.9983976246620203e-06,5.836274503617195e-10,8.382013988016164e-09,1.3074477514021028e-11,8.213619300474509e-10,-8.037322940263839e-05,3.934673258314746e-05,-3.451860188439997e-07,-3.861306881874915e-10
0.03,-0.001267212115700707,4.21619657922806e-06,0.00019167787609889193,5.042117348596613e-08,2.1921180185378635e-06,6.24719890275795e-10,8.156583507204607e-09,1.71074450618413e-11,7.781203875809721e-10,-0.004012523221754709,3.7141321677800955e-05,-1.91006978656634e-06,-1.549584472543275e-08
0.035,-0.0012615917194538815,5.109328849768071e-06,0.00016252477803950334,6.182749916810539e-08,2.3656581907984084e-06,6.615899399884712e-10,6.712234209055141e-09,2.072851424327145e-11,6.577304410634819e-10,-0.007550328771144934,3.164822388948919e-05,-1.1663184374594509e-07,-3.120282575505215e-08
0.04,-0.0012562161780654024,5.815383252589519e-06,0.00011741088316242512,7.401614924124604e-08,2.502016151673592e-06,6.905707687816841e-10,4.767005625262166e-09,2.3578074228972745e-11,4.71919205010201e-10,-0.010341331360544471,2.239214090276195e-05,-1.092581225924419e-06,-4.2515917683151605e-08
0.045,-0.001251104900761846,6.2647456179714885e-06,6.078789025400202e-05,8.676172469698262e-08,2.586381647277594e-06,7.084140436690514e-10,2.3289318138469e-09,2.5371173070098562e-11,2.3899287380298e-10,-0.012116302069467438,1.115052837342874e-05,6.044790642754536e-08,-4.984127909436059e-08
0.05,-0.0012462920912152211,6.413515248000641e-06,-1.7743708667430936e-06,9.978061097262127e-08,2.6104547890000183e-06,7.133735444146814e-10,-3.6820587719018183e-10,2.5928680524551175e-11,-1.7966048568989613e-11,-0.012697429504439245,-1.6942746492340215e-06,-1.942862433551105e-06,-5.203374477732309e-08
