,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-0.0032583761670985103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031964670199236385,0.0
0.005,-0.003242882378729659,4.6743262145470895e-08,2.8102786066651078e-05,2.9580259374606627e-09,1.2369171214236504e-06,3.519867282651551e-07,0.00013106452778278836,2.587955950625619e-11,2.526715634814034e-08,0.01135845464055313,0.00027084873634306765,0.020232072273059825,2.0119199074476896e-05
0.01,-0.0032275609660094217,3.754942447323661e-07,0.00011210949036048431,1.2560818130168535e-08,2.599436927734362e-06,1.2088014473067081e-06,0.0002015366989908125,7.860310788892988e-10,3.8342566219907754e-07,0.0217319478053601,0.00026581094411723324,0.008139477903316934,0.00014618107350089895
0.015,-0.003212368835025646,1.2377473582595096e-06,0.000237660988967433,2.872949019113904e-08,3.8314770011048715e-06,2.273902182248733e-06,0.00021624385248589556,5.452816218170305e-09,1.6875872527447002e-06,0.027508940738341054,0.00022266131751957064,-0.0017194316579308899,0.00038808896429310747
0.02,-0.003197347383079769,2.7745656013229153e-06,0.00037661660673712276,5.043407987849603e-08,4.801537099879291e-06,3.3037305613685974e-06,0.00019054416666423413,1.9793156140464043e-08,4.245683392099548e-06,0.0269923899727755,0.0001646599382755135,-0.007892822782827987,0.0006171307986887274
0.025,-0.0031825203627217982,4.973608364923506e-06,0.0004975255211549281,7.626222268416015e-08,5.484705358578337e-06,4.144359361343765e-06,0.00014382556860650418,4.916406433734678e-08,7.528682189509718e-06,0.020487905400023477,0.00011037676992702291,-0.010194857487281278,0.000650420093843779
0.03,-0.003168030289251768,7.675552220243342e-06,0.0005741434114515409,1.0488228685988275e-07,5.930281520574322e-06,4.73673320827817e-06,9.381903682417765e-05,9.418279878737938e-08,1.0267635298274603e-05,0.009599196862327795,7.07570899226527e-05,-0.009387830586441171,0.0003996750792598794
0.035,-0.0031539792986347037,1.0612728425744334e-05,0.0005897334791361454,1.3530828231940464e-07,6.221855200759474e-06,5.098272885031038e-06,5.30215023772336e-05,1.4877324405338374e-07,1.1186587133736116e-05,-0.0035595197158818956,4.859654288512525e-05,-0.006742368161408841,-4.929468854955772e-05
0.04,-0.003140540445163506,1.3460820112710718e-05,0.0005382689110014024,1.6697874656504738e-07,6.439859319645215e-06,5.29213846458392e-06,2.7227543500248755e-05,2.0218368019877085e-07,9.796322699361658e-06,-0.01688557517132866,4.035782868625584e-05,-0.003598032526067786,-0.00048558066833778984
0.045,-0.0031277622519046153,1.5890442085347214e-05,0.00042378097874461407,1.9967083654113812e-07,6.63603082703972e-06,5.3948449977265985e-06,1.6066745924786255e-05,2.4388622888489227e-07,6.67965433312255e-06,-0.028469471719583035,3.847929742837091e-05,-0.0010374434810521995,-0.000716089427616984
0.05,-0.003115730228038053,1.761535565379733e-05,0.0002592305869324119,2.3332126799111946e-07,6.8218017161463465e-06,5.469197237489537e-06,1.4834935401762652e-05,2.681788584389606e-07,3.0553918496381224e-06,-0.03666199956880092,3.487016077626717e-05,0.0003081512843510996,-0.0006948405747398741
0.055,-0.003104513934603122,1.8433219490784178e-05,6.485506502341747e-05,2.678280202176078e-07,6.971643276704495e-06,5.548568649629811e-06,1.690764503520739e-05,2.7534465106612443e-07,-4.653690393799109e-08,-0.0402457262888867,2.3243565096994173e-05,0.00030145394983618966,-0.0005365457161872703
0.06,-0.003094294569624153,1.8255402365122947e-05,-0.00013471808574886326,3.028967878223255e-07,7.037376174659453e-06,5.633322994338592e-06,1.607313191980061e-05,2.690263256608824e-07,-2.368517145587545e-06,-0.03873926686079176,1.143549211832864e-06,-0.0007771032726660912,-0.00040908218818456674
0.065,-0.0030852451873940464,1.7118650336277134e-05,-0.00031484534879369045,3.3797535534726016e-07,6.967661782725515e-06,5.697587083390453e-06,8.2615762068451e-06,2.5225001612186576e-07,-4.328956215016495e-06,-0.032629330587477856,-3.0316217393851163e-05,-0.0023868386746403714,-0.00039388771737159343
0.07,-0.0030776932337807407,1.5172990202019018e-05,-0.0004555775120780579,3.722855464113486e-07,6.7260086285462905e-06,5.702331418907199e-06,-7.637487114431682e-06,2.255239902528976e-07,-6.3991657259390865e-06,-0.023268437656171845,-6.667953169024507e-05,-0.003912106195168976,-0.00043188793818522194
0.075,-0.003071771723064269,1.2648788748464452e-05,-0.0005450332587918387,4.049322653247342e-07,6.303425369232654e-06,5.610569251895545e-06,-2.9844590862516857e-05,1.88160935212749e-07,-8.510515787933246e-06,-0.012409465176569243,-0.0001016118751102437,-0.004841532755066654,-0.00038846097878551637
0.08,-0.003067789099072565,9.814193965846602e-06,-0.0005798013936598542,4.3505368609666425e-07,5.722149505268344e-06,5.399683867656923e-06,-5.453282099778519e-05,1.4143485684747267e-07,-1.0004634094427987e-05,-0.0016115221654407115,-0.00012915289932446844,-0.004876585711222649,-0.0001813235652312565
0.085,-0.003065757577402774,6.937106533005453e-06,-0.0005629199566327547,4.619714675957439e-07,5.032231420785308e-06,5.068894634032479e-06,-7.702252984507909e-05,9.042269109341523e-08,-1.0124327955414712e-05,0.008140822933621204,-0.00014447163841896577,-0.003976811361955674,0.00014214761100792223
0.09,-0.0030660493944457035,4.260439395917284e-06,-0.0005008538327094784,4.853088279933659e-07,4.302566358013419e-06,4.640342668958855e-06,-9.300564400686129e-05,4.290517983549989e-08,-8.634514632265133e-06,0.016423967033189223,-0.0001485746212775468,-0.00231421438838487,0.0004345199214532405
0.095,-0.003068614669846341,1.9909784700663563e-06,-0.00040139231032228624,5.050562934149891e-07,3.6091545047513464e-06,4.154841775361711e-06,-9.942948213980768e-05,5.914528484326044e-09,-6.057678913674847e-06,0.02307179653332186,-0.00013250722783771893,-0.00021039977709266293,0.0005614398094781871
0.1,-0.003071869787163579,2.943129479298334e-07,-0.0002732741233112864,5.215805579895756e-07,3.0244800356347187e-06,3.664138978145927e-06,-9.500115466083306e-05,-1.740668947349229e-08,-3.3264112659151705e-06,0.02783440319373068,-0.00010165390887321467,0.001965386462199971,0.0005030487828295248
0.105,-0.0030708935573583365,-7.113722281027607e-07,-0.0001268815854954652,5.355788667112854e-07,2.6069410188348644e-06,3.2218627888855434e-06,-8.029015209391471e-05,-2.8275025487367092e-08,-1.1547632682475436e-06,0.03030684331194459,-6.392183327847431e-05,0.00385343798887791,0.0003624286131390823
0.11,-0.003064173960961666,-9.64872615230805e-07,2.5377346538947323e-05,5.479889429819045e-07,2.3934474466486885e-06,2.8747670963347047e-06,-5.7390512485726644e-05,-2.9943830485339204e-08,4.006165328987624e-07,0.030135566992156217,-2.1004471104239675e-05,0.005212304649532414,0.0002792705929042166
0.115,-0.003048545461702067,-4.70350976153564e-07,0.00017004969356792762,5.598739053957784e-07,2.3966292388518606e-06,2.6564347210627606e-06,-2.937474089176271e-05,-2.4430266623911565e-08,1.8387619957956773e-06,0.02731023207997733,2.1861491300194524e-05,0.005889476267213987,0.00031579079270467527
0.12,-0.00302319029321505,7.024299651845606e-07,0.0002948252104563531,5.72296800821065e-07,2.604741204064464e-06,2.583690718487666e-06,2.4664175573890485e-07,-1.0930510556939704e-08,3.6479203437023013e-06,0.02228942363157327,6.020789856689216e-05,0.005857050364485948,0.00040705209783206616
0.125,-0.002995385218855996,2.429461159058396e-06,0.0003905451240936246,5.862108881335462e-07,2.9866182033574208e-06,2.65613708563922e-06,2.821107791852391e-05,1.2591057464913295e-08,5.783461104649617e-06,0.01582603413319814,9.118898552820872e-05,0.005242979633353409,0.0004240223820139348
0.13,-0.0029750550719837995,4.550804511213033e-06,0.00045191389580228475,6.023813712846373e-07,3.4997920805754945e-06,2.8590089398493966e-06,5.2084277853522455e-05,4.639015380049317e-08,7.630334001918831e-06,0.008662048063598014,0.00011276984846524913,0.0042379787558248306,0.00028469946002371315
0.135,-0.00296734465492974,6.888112093197792e-06,0.0004768516509175348,6.213471738931509e-07,4.096317381306465e-06,3.167574585253797e-06,7.029558596282147e-05,8.711118065505413e-08,8.429594261287538e-06,0.0013158325635579402,0.00012444763794139908,0.003000770139991351,2.1572289815049647e-05
0.14,-0.00297198318862375,9.258477179984174e-06,0.00046524557438174847,6.434008369085064e-07,4.726600763441843e-06,3.551109771638866e-06,8.197367356877218e-05,1.2841448264188213e-07,7.859347519694632e-06,-0.00591814252655666,0.00012614112936763452,0.0016430805536389588,-0.00023703718498754335
0.145,-0.002990599080029806,1.1481777149329779e-05,0.00041835947439267633,6.685888547712356e-07,5.342272809056332e-06,3.976000743569306e-06,8.684405903176625e-05,1.6404564995680337e-07,6.27337195675982e-06,-0.012734633712660494,0.00011867104349119219,0.0002877818070891162,-0.0003690316049181205
0.15,-0.003035445591051668,1.3388716447374898e-05,0.0003394976015956952,6.967288207552055e-07,5.901180404801396e-06,4.409046300008631e-06,8.53935723489585e-05,1.9073210276325256e-07,4.420660028307242e-06,-0.018592449258611962,0.00010374146103662482,-0.0008765064484719538,-0.0003507272734702754
0.155,-0.003107524400655299,1.4834402743529668e-05,0.00023529922428504048,7.274517330511461e-07,6.370919890435312e-06,4.8211933347487156e-06,7.868672416370197e-05,2.0878616542526448e-07,2.874812708854067e-06,-0.0227376823016592,8.34172491574979e-05,-0.0018161738983754681,-0.000266669282091906
0.16,-0.003215315847837093,1.571662924326174e-05,0.00011611520172759735,7.602526387031343e-07,6.729898526443944e-06,5.189353908556998e-06,6.805332046287102e-05,2.2007125420282025e-07,1.6720987100784194e-06,-0.024497564125407288,5.980948336330738e-05,-0.0024435999742336107,-0.0002293859499419666
0.165,-0.0033613034313612388,1.5992089461728975e-05,-5.180612919261556e-06,7.945517300266302e-07,6.9701354020095036e-06,5.4978734303732305e-06,5.510602261919555e-05,2.2541826621543724e-07,4.203842392992954e-07,-0.023580222205570774,3.608783591581315e-05,-0.002744903103458812,-0.0002848825070730981
0.17,-0.0035486207912178006,1.5683257728967463e-05,-0.00011556852729340255,8.297644486222561e-07,7.097261810987451e-06,5.739360371389841e-06,4.1526515194824555e-05,2.2356560079157948e-07,-1.239658147006184e-06,-0.02020464850316871,1.4831350671608075e-05,-0.002699607461015502,-0.0003767408712113153
0.17500000000000002,-0.0037912123708709585,1.4873198700918095e-05,-0.000204064464764343,8.653706094628757e-07,7.132447646047609e-06,5.915439167581271e-06,2.9315034351518246e-05,2.1245845127008043e-07,-3.221547841979961e-06,-0.014928661224722715,-3.5980216543300096e-07,-0.002211044819580069,-0.0003955874734305779
0.18,-0.004087454174544596,1.3692526759381908e-05,-0.00026272341008507617,9.009931458357675e-07,7.110465498211881e-06,6.038085983123576e-06,2.0450914337485047e-05,1.9176746827917735e-07,-4.950168893590935e-06,-0.008366671851081675,-7.850205219699422e-06,-0.0013703731355084693,-0.0002710123023274974
0.185,-0.004410247935903404,1.2304262387355632e-05,-0.00028647421639088253,9.364431416413569e-07,7.06927369563602e-06,6.127109325823147e-06,1.58895892234882e-05,1.6454596505924877e-07,-5.73725773534926e-06,-0.0010483829840927123,-8.15079688647757e-06,-0.0004861796639395715,-3.234965064133604e-05
0.19,-0.004708135451970308,1.0890233988980644e-05,-0.0002728492218007481,9.716997490942474e-07,7.036062832568488e-06,6.20267862362063e-06,1.4752548931411343e-05,1.3652596917508066e-07,-5.264467230663454e-06,0.006480415310455999,-4.700280309402952e-06,3.0135289211098787e-05,0.00021202224882707274
0.195,-0.004950584516323431,9.637178184220352e-06,-0.00022250787136814966,1.006836930403549e-06,7.02244280835735e-06,6.276940830897693e-06,1.5021024644929127e-05,1.1358904892957902e-07,-3.790366034984617e-06,0.013500699090777994,-4.91121230999732e-08,0.00012333781453007666,0.0003550920780389425
0.2,-0.005141392143742289,8.718753003512532e-06,-0.00014015153126643008,1.041967531724703e-06,7.034683232621713e-06,6.352982333260584e-06,1.5364934421604028e-05,9.92465829621272e-08,-1.938280862342754e-06,0.01913462710860735,5.505169501902873e-06,9.81589727965493e-05,0.00036634146011330646
0.20500000000000002,-0.005316275382992903,8.27395009185152e-06,-3.483275987290046e-05,1.077252660920197e-06,7.0882105471833475e-06,6.431868148636859e-06,1.6459690845099466e-05,9.390413374237674e-08,-2.516269651443385e-07,0.02257846846547949,1.6010468605723948e-05,0.00042031366619936966,0.0003030435593592705
0.21,-0.00550940736709091,8.388289730700958e-06,8.124641475306078e-05,1.1129710512018756e-06,7.214535078106155e-06,6.522775949694928e-06,2.0648289475973177e-05,9.618181362169877e-08,1.1192723593082177e-06,0.023406306505696924,3.392039798706314e-05,0.0012963650323259495,0.0002542072774425522
0.215,-0.005735490924489965,9.082586244317377e-06,0.00019507594825316684,1.1495860541678226e-06,7.453481274120099e-06,6.647511520155435e-06,3.0293690440069148e-05,1.0494187236596368e-07,2.3961071714445594e-06,0.02174862885009571,6.044553515120216e-05,0.0025450956926355546,0.0002666171388972108
0.22,-0.005914615690527347,1.0316409875829336e-05,0.0002953926200769025,1.1877274969169492e-06,7.82464730543109e-06,6.833473427647409e-06,4.459363368202051e-05,1.204357996522356e-07,3.839306325209129e-06,0.01808959138265946,8.70422287400086e-05,0.0031345714918718406,0.00031005042298685396
0.225,-0.005894568538322364,1.1998752276022636e-05,0.000373146371799034,1.227984163712696e-06,8.285349840849667e-06,7.089734926340726e-06,5.681753471021849e-05,1.435851253579866e-07,5.420830867195311e-06,0.012738785013018412,9.605632106671152e-05,0.0018080783660292072,0.0003092105453664975
0.23,-0.005653215484490942,1.3995845568391702e-05,0.00041992958833606155,1.2705636588893264e-06,8.735015651321388e-06,7.383610200027355e-06,5.843761284696392e-05,1.742373923003611e-07,6.7575133232992655e-06,0.005689171794496559,8.20620444481711e-05,-0.0009761459333485625,0.00020719130859475719
0.23500000000000001,-0.005351313787473041,1.6132292632887422e-05,0.00042754240740395117,1.315166441364776e-06,9.085111023018736e-06,7.653204451525914e-06,4.756391312198088e-05,2.0986308326564098e-07,7.32815282738658e-06,-0.002847838951410686,5.721476198193537e-05,-0.0031726513119114453,8.656722405439403e-06
0.24,-0.0050865610786643735,1.8196120025082358e-05,0.0003903148266006411,1.3611933345312505e-06,9.303783027279313e-06,7.847403356749937e-06,2.9417964227306973e-05,2.4564131568459694e-07,6.790399231296078e-06,-0.012075964308672834,2.8321206934964134e-05,-0.0039402217730638,-0.0002229699426113431
0.245,-0.004865228031266499,1.9959337903239853e-05,0.0003076614537385205,1.4079919957528687e-06,9.396027461977334e-06,7.94597288870156e-06,1.0164910254204471e-05,2.7596214678257315e-07,5.181301029127761e-06,-0.020812552645172556,6.094252766122035e-07,-0.003697814158395244,-0.0004079691002341571
0.25,-0.0047184847773300235,2.1206194003838022e-05,0.00018530418892423085,1.454975140385475e-06,9.382322814049827e-06,7.95484657715819e-06,-5.801603010313981e-06,2.9628599617710897e-07,2.87174095756448e-06,-0.027720331413378402,-1.1319374768624794e-05,-0.0027426235971169384,-0.0004993452949148113
0.255,-0.004665465692495416,2.1766576644494383e-05,3.564710218053804e-05,1.5016869005762948e-06,9.29235905575883e-06,7.897782398731764e-06,-1.5947695189504868e-05,3.04309274548428e-07,3.335306384675904e-07,-0.03153564051012901,-2.3471324899395405e-05,-0.0014626648555421237,-0.0005045119153529159
0.26,-0.004718661224844353,2.15470276931546e-05,-0.00012332702371858323,1.5478178558234246e-06,9.154915871464392e-06,7.806325045697123e-06,-1.9567091298158284e-05,2.9981390557249735e-07,-2.097249617206075e-06,-0.031338600464071505,-2.999034990108144e-05,-0.00018941695996932027,-0.0004635231558242428
0.265,-0.004844132373639827,2.0552973467220254e-05,-0.0002706318552269539,1.5931895458487703e-06,8.990558545256059e-06,7.710518790569154e-06,-1.811660251169562e-05,2.837579415869111e-07,-4.27828334607029e-06,-0.026896603221414857,-3.1691545194331757e-05,0.0005647478437765887,-0.00040711541656469376
0.27,-0.005008500019680684,1.8894136927680077e-05,-0.000386245933728789,1.6376879164814516e-06,8.805217120939554e-06,7.6282496988740175e-06,-1.4726443907707214e-05,2.575648679806946e-07,-6.136462313009652e-06,-0.01882729311710368,-4.1246171945971754e-05,0.0006456105189221662,-0.00033088255183305777
0.275,-0.005025971716820741,1.6768779795737476e-05,-0.0004554255934921745,1.681151847994972e-06,8.565477414595678e-06,7.555306627805495e-06,-1.5914759545295756e-05,2.2320232929945065e-07,-7.505770087076914e-06,-0.008672201625063528,-5.75978527927208e-05,-0.0010802651205192495,-0.00020666056751877764
0.28,-0.004758823393682907,1.4426040539546665e-05,-0.0004734121313134413,1.723101467917414e-06,8.180462565765555e-06,7.4456033325118215e-06,-3.094224704255571e-05,1.838057624511486e-07,-8.099037169925285e-06,0.0012297678291823431,-9.773325168860361e-05,-0.004641189795891026,-2.1924036126871015e-05
0.28500000000000003,-0.004162213629077464,1.2108337784457059e-05,-0.00044757281012936927,1.7625227101839538e-06,7.535231744416637e-06,7.21163296767885e-06,-6.627754471997494e-05,1.439119092910674e-07,-7.684261694905883e-06,0.008497633012057769,-0.0001605202666294037,-0.008965196968639559,0.00018581178035539502
