,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-0.0052134018673576175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4793827000193035,0.7316893842399895,-0.42823922770052525,0.0
0.005,-0.005188611805967454,1.5166688104996337e-07,5.7664595453936134e-05,1.4386991339247013e-07,3.0098034747250147e-05,4.87301831354769e-07,0.00019771880530234726,-6.179891688276326e-11,-2.308573141461049e-08,0.01713093216821099,0.00046858580073194656,0.03372380218101906,6.027050117414389e-06
0.01,-0.005164097545615075,7.299791727093398e-07,0.00018802168155561448,3.003268120900555e-07,3.248673054310372e-05,1.814942623871355e-06,0.00031704104706977137,4.1916690839212705e-10,3.686675891953651e-07,0.03424687109135641,0.0004719082579003192,0.014248844279319356,0.00019097225309614298
0.015,-0.0051397901360410335,2.1491775328924783e-06,0.00038803573999623216,4.684318238748937e-07,3.469785350577694e-05,3.5060556640019553e-06,0.00034591441559357134,6.140419038830341e-09,2.255361145496624e-06,0.044208579515604,0.0004039576436029729,-0.0018653755340654887,0.0005889057772617331
0.02,-0.00511575581292763,4.652426852461572e-06,0.0006131471682763064,6.465698410473728e-07,3.6473499622744586e-05,5.162779558853015e-06,0.00030820077943650455,2.6600698493136726e-08,6.272580103208099e-06,0.044096355926104336,0.0003041501824966042,-0.012155938065083888,0.0009921049256344174
0.025,-0.005092032580354877,8.237589585400752e-06,0.000812673896363767,8.323165278481262e-07,3.7743873905713834e-05,6.528759217048012e-06,0.00023484328539661957,7.122211211057338e-08,1.1655146794251553e-05,0.034263039093850645,0.00020662123073753036,-0.01620859086887727,0.0010871612915396285
0.03,-0.005068848462802828,1.26641552980018e-05,0.0009436857237412081,1.023282772559706e-06,3.858168805399525e-05,7.500265066763987e-06,0.0001546596713667788,1.419967776459906e-07,1.63341308322594e-05,0.017209289084718637,0.00013312589386217655,-0.015170357340084761,0.0007061832618826544
0.035,-0.005046366877815526,1.751293900715611e-05,0.000978311146672404,1.2176544812075707e-06,3.91324888512824e-05,8.098930685546172e-06,8.829491229856866e-05,2.2968657948813857e-07,1.8121372499345322e-05,-0.003718331202908126,9.208941980023977e-05,-0.011048337188577756,-2.435807627177572e-05
0.04,-0.0050248647122616095,2.2267841071009624e-05,0.0009056149621917608,1.414378041644228e-06,3.954435630262234e-05,8.423198182216784e-06,4.5712511901397226e-05,3.1678989155159023e-07,1.6093699549280753e-05,-0.025183750202377758,7.594768722729572e-05,-0.00600007359791041,-0.0007544594161049099
0.045,-0.005004419603047384,2.639810322430155e-05,0.0007306806770775925,1.6130345974677012e-06,3.991623315525055e-05,8.59588282057538e-06,2.6856746068183444e-05,3.857100283244753e-07,1.1145034289844438e-05,-0.044134442245528926,7.225831957255457e-05,-0.0017992544899724239,-0.001151214660769076
0.05,-0.0049851683648608845,2.9435846131996427e-05,0.000472984412093139,1.8135189086195803e-06,4.027258146608025e-05,8.719626982694867e-06,2.4507010444115724e-05,4.2672035089974095e-07,5.295561574066883e-06,-0.05786997393441809,8.11068210144622e-05,0.00048437877196075285,-0.001125910249439024
0.055,-0.004967222295364995,3.104200774570026e-05,0.00016407013665469574,2.0156690059703763e-06,4.056889447823714e-05,8.851015489173988e-06,2.8132892684667147e-05,4.401021223678461e-07,2.8328766052558286e-07,-0.06432323649060226,9.351991002332083e-05,0.0005778819067188412,-0.000864321195038922
0.06,-0.004950871311398645,3.10565490484844e-05,-0.0001568205778791122,2.2189803240704283e-06,4.072044263281085e-05,8.993878778853612e-06,2.7621597031382474e-05,4.317795241516116e-07,-3.429642256064053e-06,-0.06264309126663706,9.793492228710177e-06,-0.0010487659670242178,-0.0006474503188552225
0.065,-0.004936392299830474,2.952106140748495e-05,-0.0004497503571791331,2.4224623741875265e-06,4.062438714520863e-05,9.108640768797895e-06,1.613090711986091e-05,4.068376036103498e-07,-6.52415315702547e-06,-0.0534054817143009,-4.930587108356588e-05,-0.0036255450970888725,-0.0006220186286646969
0.07,-0.004924309174049185,2.666141399024443e-05,-0.0006817862101528504,2.6246928754647616e-06,4.021141116406203e-05,9.133033744259898e-06,-8.49112143587377e-06,3.6612782325159277e-07,-9.831719752417981e-06,-0.038731591904435037,-0.00011656050363194337,-0.006136606807594647,-0.0007010202822133049
0.075,-0.00491483475690283,2.283885092928546e-05,-0.0008327361688571089,2.8240140021496e-06,3.946229414619915e-05,9.005989923216567e-06,-4.36864508531883e-05,3.081630352478274e-07,-1.3328048171190678e-05,-0.021449866831225545,-0.00018168067924420606,-0.0077370094645960175,-0.0006587770564163188
