,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-0.0009602604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4797309330564367,-0.7322208978229824,0.5116956032556731,0.0
0.005,-0.0009556943,2.2253140177653907e-07,0.00013962854638708717,-1.2143716479784465e-07,-2.2825865379709548e-05,1.7350386451958271e-07,1.7518950835176623e-05,1.4524534185338265e-10,8.663157683637624e-08,0.043771071319582244,9.161536632107392e-06,-0.013384929123689437,2.8000191039000973e-05
0.01,-0.000951179,1.3930717778957798e-06,0.0003092789551858568,-2.391280396303969e-07,-2.4378596324200278e-05,1.506074351100513e-07,-1.1731865315507453e-05,8.152947093210548e-10,1.683434059956954e-07,0.0225578758284945,-0.00019883517785684868,0.002625933961251603,1.4243545224844811e-05
0.015,-0.0009467018,3.176097026727453e-06,0.0003991558224602304,-3.60770486799458e-07,-2.3899303538091624e-05,1.4009287302911398e-07,5.932630322074658e-06,1.7937421844326556e-09,2.110388009442688e-07,0.016107199248857784,0.00024057599862829793,0.0014287411306072029,5.8794371863557775e-06
0.02,-0.0009422749,5.356289128274353e-06,0.00046738144504064567,-4.778924273522043e-07,-2.310716166377155e-05,1.6744958579943815e-07,2.880090153708862e-06,2.970257875440908e-09,2.513320110737314e-07,0.009501340179616902,7.150035192043935e-05,-0.0011660684464632753,-7.018320031062543e-07
0.025,-0.0009379053,7.762438760599572e-06,0.0004852025181933404,-5.926462229944883e-07,-2.276821081867474e-05,1.7502716759575403e-07,1.5835372013450354e-06,4.257934561441368e-09,2.6847469629174537e-07,-0.0021681808425598192,9.354897180487154e-05,0.0004154757516938168,-4.621861655260823e-06
0.03,-0.000933635,1.0120142550290766e-05,0.0004500172303870903,-7.051246661824802e-07,-2.2208358444229012e-05,1.875171857869326e-07,2.9630454795289197e-06,5.5020268533300535e-09,2.5026353176775836e-07,-0.01164608064819847,0.00011183062066387472,-3.27753983724588e-05,8.486203698644147e-06
0.035,-0.0009294941,1.2188752569085018e-05,0.00037029935074503955,-8.149178460848902e-07,-2.1739579073766687e-05,2.003932967517954e-07,2.0770693375664864e-06,6.618121270492605e-09,1.7242207756292375e-07,-0.02022139172517931,7.730803077539428e-05,-0.00018020853415420812,2.3281938732397367e-06
0.04,-0.0009255336,1.3756328234062514e-05,0.0002511589290872684,-9.227411167871027e-07,-2.1406427271171102e-05,2.0913943424381467e-07,1.503814614832426e-06,7.523359252248916e-09,1.2648907880606533e-07,-0.02693743248815239,5.648220804008175e-05,-8.942432436620518e-05,-4.6973227773017094e-05
0.045,-0.0009217678,1.4654698329320284e-05,0.00010470163160752216,-1.0291803282483787e-06,-2.1194573861850493e-05,2.152302885056814e-07,8.603641126922191e-07,8.006680935445253e-09,1.0826655469933808e-07,-0.031013858964522592,2.600022292049975e-05,-0.00017128963910933992,-1.9989728628691875e-05
0.05,-0.0009182219,1.4783672102995282e-05,-5.416844429993064e-05,-1.1349770530342561e-06,-2.1153675360781116e-05,2.1729440171693706e-07,-3.7055002227457216e-08,8.061728845866236e-09,-2.348735012219048e-08,-0.03220633842937129,-9.327853850965573e-06,-0.00017524472701321847,4.1872973689477226e-05
0.055,-0.0009149164,1.41172566606607e-05,-0.00021039038553921348,-1.24100055447715e-06,-2.1282999894583656e-05,2.150032934840351e-07,-8.673563680719943e-07,7.858143045610748e-09,-1.7590839428441385e-07,-0.029930016364982923,-4.206454557055539e-05,-0.0001607262334415993,-3.507955287903458e-05
