,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-0.0009602604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031964670199236385,0.0
0.005,-0.0009556943,2.3862620069286135e-07,0.00013352085440420563,1.4175306101615525e-08,4.840655947840535e-06,1.5896563895096728e-07,2.4641410824130682e-05,8.021903792626288e-11,6.404919240650461e-08,0.043380417314614284,0.0002163126041072317,-0.012532392808223339,3.206327106632804e-05
0.01,-0.000951179,1.401637719548393e-06,0.00031481105504732116,3.6295735909925985e-08,3.6336508220235506e-06,1.5712850306870673e-07,-1.2347789026597192e-05,6.815933835898853e-10,1.5213891456646008e-07,0.02521984943499413,-0.0002584735105893351,0.0010223659232436867,1.2246374706324607e-05
0.015,-0.0009467018,3.2337651473857644e-06,0.00041147441453473894,5.384658937751837e-08,3.811715250692673e-06,1.367863302131838e-07,4.715036226441683e-06,1.6193852950179504e-09,2.060209099776602e-07,0.016811566413720634,0.00021984669993690877,0.002150714071979997,-1.1255070157642662e-06
0.02,-0.0009422749,5.487792858407259e-06,0.00048554721219866637,7.529849922048637e-08,4.633842093494802e-06,1.6464750204391935e-07,3.5207656162611704e-06,2.7545607699720375e-09,2.573094108499286e-07,0.011239396754154654,8.154005010482253e-05,-0.0012415740743542225,1.9750567006524e-07
0.025,-0.0009379053,8.0084454501756e-06,0.0005128364471918429,9.925175142811023e-08,4.954704430932382e-06,1.7330281824317808e-07,1.3987291079925912e-06,4.013297612168899e-09,2.740575393208416e-07,-0.00036710735740648714,8.133729274434496e-05,0.00033384070921473286,1.2059686204910196e-05
0.03,-0.000933635,1.0526096247018094e-05,0.0004861847748408423,1.2526629198894747e-07,5.4748584448942655e-06,1.8494970208757712e-07,2.9543245369687477e-06,5.271649156064896e-09,2.3588861988088295e-07,-0.01008164339279962,0.00010992028662946241,4.506347423658529e-05,2.209233325216678e-05
0.035,-0.0009294941,1.2794745895574167e-05,0.00041414530227795206,1.538880972655447e-07,5.9459586318133785e-06,1.983528807785675e-07,2.2154676462768434e-06,6.442184414748639e-09,1.611603682687796e-07,-0.01875238161686498,7.802936079823053e-05,-0.00019652911336435474,-5.983124104829048e-06
0.04,-0.0009255336,1.4597888070125792e-05,0.0003012348790097096,1.8450058898072305e-07,6.282832581364458e-06,2.0759676557558318e-07,1.5850553740398586e-06,7.409618234935976e-09,1.4801345952090892e-07,-0.025843116930760673,5.797529704666617e-05,-8.449856390515142e-05,-6.753295742303791e-05
0.045,-0.0009217678,1.5757744738749757e-05,0.0001587637128477872,2.1654062246155128e-07,6.51043998719783e-06,2.1422952205173777e-07,9.989789204636164e-07,7.931915015536851e-09,1.3761580941268348e-07,-0.030465458506083662,3.0664166248175345e-05,-0.0001610275457531302,-1.8114642741786507e-05
0.05,-0.0009182219,1.6161921647403463e-05,1.3648187150886874e-06,2.493346450052542e-07,6.57880223955193e-06,2.1704711151374743e-07,1.1623753876074183e-07,8.046196423734569e-09,3.446622255100082e-09,-0.03220888058636308,-3.2234767905937735e-06,-0.0001774256863626988,5.3569112303846617e-05
0.055,-0.0009149164,1.5771365693694953e-05,-0.00015604472338556077,2.820536113453743e-07,6.482599777222974e-06,2.1549224709779658e-07,-7.255581331728849e-07,7.89500955824851e-09,-1.6659065394681073e-07,-0.030520090968357304,-4.235454496525051e-05,-0.00015742550673053865,-6.757104317189899e-06
0.06,-0.0009119047,1.462484928463133e-05,-0.00029852315353263374,3.1390146387841333e-07,6.232849349358054e-06,2.0989236481518918e-07,-1.503937003947397e-06,7.391888109815922e-09,-1.6155128594689058e-07,-0.02575195324185617,-6.420555403432708e-05,-0.00014829498794155245,-9.880795117330182e-05
0.065,-0.0009092378,1.2835073617425757e-05,-0.0004118768970258351,3.4415906056864695e-07,5.850964173121575e-06,2.0066484676800319e-07,-2.157653143643041e-06,6.37436613835713e-09,-1.1573950335957659e-07,-0.01890164415019101,-8.741035922168364e-05,-0.00011286908102421206,-1.2810446548743547e-05
0.07,-0.0009070122,1.0576450810772203e-05,-0.00048453551247331695,3.72251068069222e-07,5.373616874168959e-06,1.8867021414140883e-07,-2.6010552701419984e-06,5.07266922428581e-09,-2.535143132908816e-07,-0.010316211826560798,-0.0001020718443542034,-6.586505007119603e-05,0.00011823739753084699
0.075,-0.0009052671,8.068962812299548e-06,-0.0005097467814215509,3.978121049550028e-07,4.8466101901292126e-06,1.7506361174269324e-07,-2.7996989106858016e-06,3.908265625764627e-09,-4.165272892175041e-07,-0.00013541920195614496,-0.00010710753138288403,-1.4687391991520952e-05,-1.2323095626353905e-07
0.08,-0.0009040934,5.557896128346836e-06,-0.00048584807892352276,4.2071868984719545e-07,4.320376840023639e-06,1.611316101591305e-07,-2.7294145403913227e-06,2.8077252525478423e-09,-2.588848652437536e-07,0.010219099281092379,-0.00010181787981049755,3.8752439749228294e-05,-0.00018106297200691686
0.085,-0.0009034947,3.2897542280651485e-06,-0.00041461357708194943,4.411023699958922e-07,3.8456675598737645e-06,1.4821351717282627e-07,-2.396096050780987e-06,1.4643568349230904e-09,-3.6043479724450066e-09,0.018772390293189233,-8.672164754936467e-05,8.881993809101359e-05,-1.3124556403151843e-05
0.09,-0.0009035807,1.4858836688466334e-06,-0.0003018897205322182,4.593377907906316e-07,3.4682620902096773e-06,1.3755650617083072e-07,-1.8303720279290803e-06,2.7916064448982744e-10,-9.274523174549169e-08,0.025325677225286485,-6.312767281164165e-05,0.0001318591475832619,0.00023174183683670262
0.095,-0.0009043367,3.224935233053247e-07,-0.00015909517196979113,4.7600838777023645e-07,3.224757965521704e-06,1.3020190504087526e-07,-1.0880181035070933e-06,-2.1823691682527674e-10,-3.035960582341924e-07,0.03021905921784402,-3.3498890996105276e-05,0.00016075152282855076,0.0001344292095111252
0.1,-0.000905296,-8.481042316318108e-08,-1.0979696120589753e-06,4.918466798884218e-07,3.1375627538149958e-06,1.2683183359430588e-07,-2.52687495887315e-07,-1.2173470761207554e-10,-1.9328007067553753e-07,0.03263818517139785,-1.0679672299165722e-06,0.00017121167815313377,-0.00016236867126418776
0.105,-0.0009050083,3.068006720567703e-07,0.00015672215974956677,5.076520656641302e-07,3.2105582809459733e-06,1.2762966871976521e-07,5.640642048868083e-07,1.346880753957876e-10,2.067209118789792e-07,0.03131060047366681,3.023617740975927e-05,0.0001615123690189692,-0.00022600715333699433
0.11,-0.000903028,1.4608891600545995e-06,0.00029978659321620404,5.242031380867008e-07,3.433437214667406e-06,1.3235239234429654e-07,1.3126346134433494e-06,3.8146573694603276e-10,4.357200647303781e-07,0.02600013757233839,5.844234125661964e-05,0.00014424383075194362,8.868447347031949e-05
0.115,-0.0008984222,3.263889543280722e-06,0.0004145836651498613,5.421955485209645e-07,3.781461125048162e-06,1.404538627407139e-07,1.899134904144951e-06,1.0551258765061263e-09,1.799916322002477e-07,0.0182874698930814,8.003835080707934e-05,0.0001063586517077153,0.0003133000909667017
0.12,-0.0008909499,5.537434341294205e-06,0.0004884177837520074,5.621630868190536e-07,4.216316116559738e-06,1.5097297973104556e-07,2.271927381453452e-06,2.491581884893575e-09,-8.654364004040046e-08,0.009857288868902869,9.309177190803862e-05,6.037484639015706e-05,4.010180948330099e-05
0.125,-0.0008827556,8.057294329772432e-06,0.0005125772717494418,5.844401747202477e-07,4.698944645759506e-06,1.6292536789891487e-07,2.4723650716021408e-06,4.147696733979515e-09,1.492783770678951e-07,0.0006651264085841085,9.847276563341156e-05,1.673005023942073e-05,-0.0003260298631865273
0.13,-0.0008767642,1.0575255320185461e-05,0.0004856190610847588,6.09168146866491e-07,5.190041136465037e-06,1.7544543222083687e-07,2.4951567957024787e-06,5.26727721689344e-09,5.616769324439003e-07,-0.009675477794541252,9.566462798837151e-05,-2.928463831726629e-05,-0.00018550303753144676
0.135,-0.0008744919,1.2843346010060526e-05,0.0004123272048974713,6.362789811085634e-07,5.644617545525013e-06,1.8750648036453183e-07,2.2883118693333777e-06,5.942925488222827e-09,4.75785350869536e-07,-0.019634719265807857,8.398702251521118e-05,-7.673714072047119e-05,0.0002569544824711162
0.14,-0.0008758589,1.4640105359939849e-05,0.0003004136516834319,6.654744161041471e-07,6.016536882671397e-06,1.9791606834917072e-07,1.8379885027360719e-06,6.7858940650721e-09,-5.13429358125654e-08,-0.0266635474224558,6.360466188316835e-05,-0.00011920817553166645,0.0003135832863813467
0.145,-0.0008813451,1.579463632650699e-05,0.00015979188163862458,6.962467846979437e-07,6.270991012270212e-06,2.056550326845855e-07,1.2338541005665923e-06,7.831215735774954e-09,-3.119481918924988e-07,-0.029796080166674024,3.5657443691464646e-05,-0.00014254066391393164,-0.00013455303787742942
0.15,-0.0008945616,1.6204010183684353e-05,4.307466872793516e-06,7.27971178164691e-07,6.3970691821197674e-06,2.1039208338401377e-07,6.575038357507633e-07,8.333306676885178e-09,1.4842910593669839e-08,-0.030108700900903177,3.720081344668742e-05,-0.00015632801962400247,-0.0004302868993383427
0.155,-0.0009158036,1.584330666204968e-05,-0.0001481694005803022,7.600119716922174e-07,6.397446533578916e-06,2.1223031046164757e-07,7.311834584474964e-08,7.769977856430264e-09,3.5865806861986114e-07,-0.02870967223974906,-1.3851560923608102e-05,-0.00013935656460274586,-8.67826484782161e-05
0.16,-0.0009475703,1.4767322763385567e-05,-0.0002796786883471842,7.917543294103521e-07,6.2853087648235e-06,2.1141795503987917e-07,-3.7091593833097026e-07,6.691724371753348e-09,9.524879606492005e-09,-0.024538695689391227,-6.280998152221493e-05,-8.021442198131709e-05,0.0004031942404814333
0.165,-0.0009905936,1.3107773819036113e-05,-0.0003766206615777923,8.22719874982657e-07,6.092454756131602e-06,2.0887344066728925e-07,-6.254167580196551e-07,6.017428414295981e-09,-5.94347992490205e-07,-0.016022404825538163,-4.4162444798442404e-05,-6.33205741731133e-05,0.00022884207013263748
0.17,-0.001045797,1.1065152204017906e-05,-0.0004297028725831312,8.526156653417439e-07,5.864580989656292e-06,2.0563261694556872e-07,-6.362766038763136e-07,5.559094365573542e-09,-5.634403643778022e-07,-0.004667993320236026,-4.9101580397639166e-05,-8.711850427113589e-06,-0.00033828697749056606
0.17500000000000002,-0.00111729,8.888687696312008e-06,-0.0004314156287288298,8.814111251059452e-07,5.6639355385928986e-06,2.0333665928527937e-07,-2.332364066435076e-07,4.509684653617476e-09,3.731224902675227e-08,0.006538342088440544,-9.978602075472023e-06,4.860025380420078e-05,-0.0004108611506802688
0.18,-0.001204594,6.851475477509076e-06,-0.0003767165413636066,9.094074737723656e-07,5.55309034933665e-06,2.0377856839546106e-07,4.3930104385666683e-07,2.838669572440852e-09,2.92595090502058e-07,0.01609430728323736,-1.2402343708274462e-05,0.0001134379041924297,0.00017625961483749234
0.185,-0.001299723,5.223462539016345e-06,-0.00026778926726777594,9.371270637439227e-07,5.555958448883897e-06,2.076291399825312e-07,1.1115251500049298e-06,1.6263006739774557e-09,-2.1181748166037843e-07,0.02491227053677008,1.3263470829659201e-05,0.00013368493232457937,0.0005293071810612564
0.19,-0.001387512,4.242042103673553e-06,-0.00011702631136166673,9.65144072446291e-07,5.668183661706514e-06,2.1430836543419223e-07,1.554959946190537e-06,1.5916080437546758e-09,-6.09546270563955e-07,0.03293816051343981,2.7848998701820856e-05,0.00012598173798756074,7.591495511537053e-05
0.195,-0.001458963,4.0795494256992466e-06,5.700088251939574e-05,9.939822708901901e-07,5.884767873235844e-06,2.2296192963068037e-07,1.927262396558053e-06,2.0999085824500117e-09,-1.5623926617411806e-07,0.0374784075712856,5.5035401371623665e-05,0.00013408366154848592,-0.0005014644881980912
0.2,-0.001515195,4.815721521882995e-06,0.0002356388183868968,1.0242076227553012e-06,6.227492473605138e-06,2.3388198162182021e-07,2.472562292969283e-06,2.2105314324552464e-09,6.208326674437657e-07,0.03597139011030559,8.351394272076577e-05,0.00015570176412676277,-0.0002687068777834059
0.20500000000000002,-0.001566734,6.427342652916505e-06,0.0004023278673775869,1.0565311376555837e-06,6.7305195801825615e-06,2.4830409512388005e-07,3.3237784991574942e-06,2.2374071769995333e-09,5.694949217502963e-07,0.029616968780337177,0.0001176874003849568,0.00018164358860413187,0.00046976944932358537
0.21,-0.001623651,8.79966613256446e-06,0.0005405707778708118,1.091815307088326e-06,7.412674806198619e-06,2.674680973380533e-07,4.3269820948952315e-06,3.44843554986978e-09,-1.1551461901806193e-07,0.02233824640019283,0.00015293655670280733,0.00016990326365332622,0.0004529637695068955
0.215,-0.001690279,1.1751772224623824e-05,0.0006355118710152716,1.1309246288220718e-06,8.254386813594594e-06,2.914294915425008e-07,5.205001890075902e-06,5.6975430983202864e-09,-1.8048106179635692e-07,0.014885294353076874,0.00017998136396767366,0.0001219434393823147,-0.00027408060944585696
0.22,-0.001743068,1.5056241648573887e-05,0.0006781957560494557,1.1744227772324964e-06,9.136903485787636e-06,3.173532993504568e-07,5.020003697885862e-06,7.62357757892056e-09,5.200746163614463e-07,0.004581692255747361,0.00018179102529723706,-6.519129385453872e-05,-0.0005295286893494096
0.225,-0.00173716,1.8439723289640614e-05,0.0006617095270801345,1.221977976611915e-06,9.83292079991009e-06,3.379308662092314e-07,3.075180604173614e-06,8.705095831102558e-09,9.136085811539886e-07,-0.009996359997314354,0.00011921977414265848,-0.0002850439271421801,5.47703339091616e-05
0.23,-0.001666032,2.1573843620935562e-05,0.000577647845661102,1.272239713987866e-06,1.0215939515363792e-05,3.4732772475346755e-07,7.529203363240528e-07,9.737538781760386e-09,3.465433824503268e-07,-0.025813330774510385,3.7951194993286325e-05,-0.00026824271496357307,0.0005682031365945063
0.23500000000000001,-0.00157706,2.4100121105489386e-05,0.0004238442702749603,1.3238093000258965e-06,1.0388077988445686e-05,3.4835402824913867e-07,-2.017479938601663e-07,1.144473134146189e-08,-3.765612952665787e-07,-0.037655301749958583,2.0980784718428166e-05,-0.00012553119176382177,0.00014691685817082994
