,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-0.0009602604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4797309330564367,0.7322208978229824,-0.44776626285720034,0.0
0.005,-0.0009556943,1.9142897299331447e-07,8.781161732213483e-05,1.4727545163158492e-07,3.174240805167124e-05,2.0803829899992236e-07,7.16986071640614e-05,-2.9088911323648982e-11,1.1010914577405649e-08,0.030958830441158353,0.0007361732880977745,0.0006034304232172827,3.106292059599579e-05
0.01,-0.000951179,1.0977005771760104e-06,0.0002833568203376765,3.121770448124868e-07,3.3589439722417346e-05,4.83892034540601e-07,2.7314630694348116e-05,8.554306292235646e-10,3.998596591082082e-07,0.041140973016147026,9.073929590860952e-06,-0.012801918736910695,9.069232344748371e-05
0.015,-0.0009467018,2.9749392735034266e-06,0.0004534019091240593,4.785987141804228e-07,3.280724546467259e-05,4.90099220036804e-07,-1.626919538039241e-05,3.570396662820258e-09,6.053667346368866e-07,0.02469823853034392,-0.00020075541084142723,-0.0030537405454285627,5.584807478105965e-06
0.02,-0.0009422749,5.4709451569101686e-06,0.0005307064358307981,6.410128031748532e-07,3.238007065831633e-05,4.1257107121814276e-07,-8.371042375595108e-06,6.826406608677666e-09,7.363212856926045e-07,0.007734197866696796,5.3155415824651664e-05,0.004464989181363871,4.040087093709708e-05
0.025,-0.0009379053,8.18093647118297e-06,0.0005467550606466201,8.045060216228961e-07,3.31509976243277e-05,4.253164590888979e-07,1.1675406391156644e-05,1.0711766963873139e-08,7.449303296923857e-07,-0.00033136017965165743,0.00021348169180976373,0.002510481189909236,-3.24801729305324e-05
0.03,-0.000933635,1.088460511802649e-05,0.0005291276499432685,9.728596800897161e-07,3.414290727416026e-05,4.979559552272165e-07,1.4356391147101614e-05,1.4206174093262026e-08,7.101887714159771e-07,-0.007059544035201676,0.00016072334520544906,-0.0010427866237702477,2.0696015443460482e-05
0.035,-0.0009294941,1.340680245258451e-05,0.0004722964618752648,1.1451760992197236e-06,3.4710847214643714e-05,5.520273651223262e-07,7.048696246389319e-06,1.7811043341192697e-08,6.583372091703625e-07,-0.015960312971463414,7.563570386198704e-05,-0.001376744742935948,-5.2802422313124805e-05
0.04,-0.0009255336,1.5529240075690532e-05,0.00036905178268435224,1.3195090895322752e-06,3.500360447778373e-05,5.747961583551921e-07,3.0368719266724435e-06,2.048794214016192e-08,4.602903715878499e-07,-0.025012332276829224,6.276747928581072e-05,-0.0002563080708485044,-8.337664074113162e-06
0.045,-0.0009217678,1.7034226141067135e-05,0.00022836606145766275,1.4951677389327567e-06,3.524783012057792e-05,5.893477202190794e-07,3.0267963341916658e-06,2.2591177322786512e-08,3.1934229272726027e-07,-0.03040207562219943,0.0002520252004650503,-8.680070174571508e-05,-7.082435210881057e-05
0.05,-0.0009182219,1.7782776107189197e-05,6.933625302004044e-05,1.67194413964222e-06,3.5429106895786584e-05,6.035147933272276e-07,2.2673168669463296e-06,2.329009992648946e-08,4.088188963625553e-09,-0.03257732612003045,2.600214970557846e-05,-0.0003933649566734143,-2.7351274729782438e-05
