time (s),ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4797309330564367,0.7322208978229824,-0.4703107785324367,0.0
0.005,9.046674906955618e-08,2.0920441583611487e-05,1.3969442849132162e-07,2.8346135233106274e-05,2.8161372840416733e-08,2.6703670953394615e-05,-9.601726891723539e-11,-5.610246595523028e-08,0.002289129920898969,8.211891685123984e-05,0.0073299600227058614,-2.0157457964987002e-05
0.01,2.391021933706296e-07,4.155337349486069e-05,2.8249012796001313e-07,2.877568380230766e-05,2.3793292881036502e-07,5.4101166128681655e-05,-6.044070721125841e-10,-1.3138708355372221e-07,0.0058663759853911646,8.64729798451952e-05,0.0036349653350010447,4.136202770707657e-07
0.015,5.319388707873196e-07,7.763327111934187e-05,4.2741990588996897e-07,2.918726102805332e-05,5.395348328381769e-07,6.38037263272126e-05,-9.699620755767917e-10,5.44515042777615e-08,0.008289846960779584,7.637018001087348e-05,0.00038132921789910124,8.299761018042758e-05
0.02,1.028134454472058e-06,0.00012132405551535626,5.742394488513021e-07,2.952553525995744e-05,8.527892711546977e-07,5.961774077539877e-05,7.81989430748843e-10,7.366896875664116e-07,0.008850500073153328,5.855381633815271e-05,-0.0018587896639825907,0.00018779620481078574
0.025,1.7416529237627278e-06,0.0001629475585499107,7.225212788268985e-07,2.9771902183068452e-05,1.1220293923714169e-06,4.720484160750679e-05,7.1138751790441956e-09,1.8412504641549695e-06,0.007503696179826186,4.023646958285776e-05,-0.0029115939698157456,0.00023892992478788443
0.03,2.6396186977473796e-06,0.00019385067330167897,8.718206401544053e-07,2.99361980774912e-05,1.3206424573469422e-06,3.224103020080963e-05,1.9202884417043765e-08,2.9456197880348313e-06,0.004658118007100698,2.6478438877902688e-05,-0.00292861473157191,0.00018386493007692233
0.035,3.652085336968197e-06,0.00020799190886590886,1.0217882192373872e-06,3.0043850131458753e-05,1.4475182990653337e-06,1.907788220131517e-05,3.5693708717542264e-08,3.526468983153522e-06,0.0008975370648817704,1.854167792079975e-05,-0.0022576403411629364,3.854840553049071e-05
0.04,4.686298946612289e-06,0.00020228561141089312,1.1722116332612636e-06,3.0123054173120626e-05,1.5185617089045757e-06,1.0139381082722957e-05,5.3117060262775995e-08,3.3001473056615937e-06,-0.003183237151549445,1.6930639132967107e-05,-0.0013106953571158653,-0.0001223034778772723
0.045,5.641371499059438e-06,0.00017654175545397222,1.3230064970069936e-06,3.019467814286381e-05,1.5567938312793782e-06,5.8542461965552564e-06,6.756984449518198e-08,2.407699621260636e-06,-0.007027948117046434,1.6798516785002104e-05,-0.00044778876161327696,-0.00021630314091719647
