,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-0.0009602604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4797309330564367,0.7322208978229824,-0.4703107785324367,0.0
0.005,-0.0009556943,1.3289595188872027e-08,8.068635924946514e-06,1.3798060988794414e-11,2.7787787922097766e-09,1.0417889014897762e-07,3.883290648192971e-05,8.842773020421113e-12,7.943632176921957e-09,0.0033099634256640587,8.099816553586159e-09,0.005998128974947364,6.064463707768378e-06
0.01,-0.000951179,1.0865795664214516e-07,3.267706981067992e-05,2.7793315221657055e-11,2.8191566685608123e-09,3.5811126647840983e-07,5.972844682713508e-05,2.3937953806255774e-10,1.148281009885421e-07,0.006381486924658536,7.905345933423291e-09,0.002413869987803602,4.361403359709421e-05
0.015,-0.0009467018,3.607185959666779e-07,6.959643719632267e-05,4.1982958604201246e-11,2.8555925032626704e-09,6.737721983456816e-07,6.407779645841624e-05,1.6320148820145438e-09,5.032902371429425e-07,0.008093984041466079,6.570058191934791e-09,-0.0005139449059372858,0.00011559646025525492
0.02,-0.0009422749,8.112433251345997e-07,0.00011048911473076245,5.633609917300881e-11,2.8842000690545e-09,9.78861039266038e-07,5.642207742977375e-05,5.904081715521477e-09,1.264128829934944e-06,0.007941073721285524,4.8903070620776035e-09,-0.0023491904816475284,0.0001834267993983095
0.025,-0.0009379053,1.4566035059539089e-06,0.00014602605326033557,7.081061271624092e-11,2.9042680008801207e-09,1.2276073693207068e-06,4.2520007040300945e-05,1.4641470691287803e-08,2.238662931398043e-06,0.006011421635924025,3.888443567134914e-09,-0.0030330612640915022,0.0001927877636977561
0.03,-0.000933635,2.2494893472784094e-06,0.00016842076468982962,8.536693861378356e-11,2.9172902528084482e-09,1.4024957944935685e-06,2.7648315318200875e-05,2.802004391877782e-08,3.048732043413312e-06,0.0027819008002336887,2.7927075929579104e-09,-0.0027911924408519917,0.00011753470242550565
0.035,-0.0009294941,3.1104955461887895e-06,0.00017271799063329476,9.997588017641702e-11,2.925766193615335e-09,1.508762980617771e-06,1.5530176227709568e-05,4.42209879530604e-08,3.3131879620932753e-06,-0.0011187458277502615,4.258085647967924e-09,-0.002001970554337068,-1.6447355449521542e-05
0.04,-0.0009255336,3.943385143795301e-06,0.00015714391461480102,1.146209334065746e-10,2.93209350080395e-09,1.5653406002575988e-06,7.887499450552348e-06,6.001337601606525e-08,2.8888438532330953e-06,-0.00506625872697164,-1.0338868955406255e-08,-0.0010656849860585238,-0.00014529784237523485
0.045,-0.0009217678,4.650662752186664e-06,0.0001229194871087419,1.2929575047842793e-10,2.937785576544137e-09,1.5949961658309873e-06,4.58681986410458e-06,7.225824255430674e-08,1.9618029915370154e-06,-0.00849555012925754,2.543821978062688e-08,-0.0003039904489003653,-0.00021121938427118335
0.05,-0.0009182219,5.147730502174783e-06,7.388923217721042e-05,1.439983625065172e-10,2.943165605585275e-09,1.6162492496086536e-06,4.236466711058128e-06,7.937363879121963e-08,8.993451063741024e-07,-0.010909405427894897,-5.4127633347667015e-08,9.554268842446034e-05,-0.00020417852519799854
0.055,-0.0009149164,5.3748714914157695e-06,1.6125669902736316e-05,1.5872569352543722e-10,2.947471526122431e-09,1.6390403083832358e-06,4.862232994038642e-06,8.14933818209577e-08,-1.2284149501606291e-08,-0.011943373786749367,1.1381156943268689e-07,9.125860123193608e-05,-0.00015962058667262418
0.06,-0.0009119047,5.306549580687284e-06,-4.3019227296448606e-05,1.734689722199458e-10,2.949274920354167e-09,1.6634309533381779e-06,4.611360068453181e-06,7.962376655477762e-08,-7.090589228379087e-07,-0.011466363524564427,-2.3071967358845313e-07,-0.000231758851584829,-0.00012441866418698823
0.065,-0.0009092378,4.954428019979978e-06,-9.625879602315016e-05,1.8821177647393053e-10,2.947051849306494e-09,1.681660042733864e-06,2.2754239325628795e-06,7.459035362266058e-08,-1.3075300822935042e-06,-0.009632643530779972,2.1346393884458248e-07,-0.0007121582574382557,-0.00012005314278398186
0.07,-0.0009070122,4.363499086898185e-06,-0.0001377399315535008,2.029310378486997e-10,2.939739117420226e-09,1.6821303887166495e-06,-2.468264193052248e-06,6.653011606970819e-08,-1.932342411764793e-06,-0.0068476787129612415,-2.4751079230611595e-07,-0.001165269437941735,-0.00012851630381680934
